"","plot","Date","cluster","tag","species","status","alive_class","dead_class","slc","canker","dbh","lide_lf_symp","sod_dead","location","notes","year"
"51","FOP324","4/7/2014 0:00:00",13,"2891","UMCA","Alive",1,NA,31,0,11,0,0,"In","",2014
"52","FOP324","4/7/2014 0:00:00",2,"121","UMCA","Alive",1,NA,51,0,20.7,0,0,"Out","HC",2014
"53","FOP324","4/7/2014 0:00:00",6,"134","UMCA","Alive",1,NA,48,0,19.6,0,0,"Out","",2014
"54","FOP324","4/7/2014 0:00:00",7,"145","UMCA","Alive",1,NA,59,0,8,0,0,"Out","",2014
"55","FOP324","4/7/2014 0:00:00",3,"141","UMCA","Alive",1,NA,27,0,16.3,0,0,"Out","",2014
"56","FOP324","4/7/2014 0:00:00",1,"132","UMCA","Alive",1,NA,45,0,18,0,0,"In","",2014
"57","FOP324","4/7/2014 0:00:00",8,"140","UMCA","Alive",1,NA,23,0,22.5,0,0,"In","",2014
"58","FOP324","4/7/2014 0:00:00",4,"137","UMCA","Alive",1,NA,21,0,7.8,0,0,"Out","",2014
"59","FOP324","4/7/2014 0:00:00",1,"1001","QUAG","Dead",NA,4,NA,0,64.3,0,0,"In","S",2014
"60","FOP324","4/7/2014 0:00:00",2,"1002","QUAG","Alive",2,NA,NA,0,11.6,0,0,"In","SP",2014
"61","FOP333","4/22/2014 0:00:00",1,"2445","UMCA","Alive",1,NA,5,0,19.2,0,0,"In","HC",2014
"62","FOP333","4/22/2014 0:00:00",1,"201","UMCA","Alive",1,NA,10,0,24.2,0,0,"In","HC",2014
"63","FOP333","4/22/2014 0:00:00",12,"2437","UMCA","Alive",1,NA,4,0,15.9,0,0,"In","HC",2014
"64","FOP333","4/22/2014 0:00:00",12,"2804","UMCA","Alive",1,NA,9,0,15.8,0,0,"In","",2014
"65","FOP333","4/22/2014 0:00:00",10,"2889","UMCA","Alive",1,NA,17,0,17.9,0,0,"Out","HC",2014
"66","FOP333","4/22/2014 0:00:00",1,"2807","UMCA","Alive",1,NA,3,0,28.2,0,0,"In","HC",2014
"67","FOP333","4/22/2014 0:00:00",5,"160","UMCA","Alive",1,NA,17,0,25.1,0,0,"In","",2014
"68","FOP333","4/22/2014 0:00:00",5,"162","UMCA","Dead",NA,2,NA,0,7.1,0,0,"In","",2014
"69","FOP333","4/22/2014 0:00:00",3,"5895","QUAG","Alive",2,NA,NA,0,20.5,0,0,"In","SP",2014
"70","FOP333","4/22/2014 0:00:00",2,"1007","QUAG","Alive",1,NA,NA,0,28.9,0,0,"In","",2014
"71","FOP333","4/22/2014 0:00:00",2,"1006","QUAG","Alive",2,NA,NA,0,15,0,0,"In","",2014
"72","FOP333","4/22/2014 0:00:00",2,"1005","QUAG","Alive",1,NA,NA,0,29.2,0,0,"In","",2014
"73","FOP333","4/22/2014 0:00:00",2,"1004","QUAG","Alive",2,NA,NA,0,26,0,0,"In","",2014
"74","FOP333","4/22/2014 0:00:00",7,"5884","UMCA","Alive",1,NA,175,0,4.9,0,0,"In","",2014
"75","FOP333","4/22/2014 0:00:00",7,"187","UMCA","Alive",1,NA,134,0,20.6,0,0,"In","",2014
"76","FOP333","4/22/2014 0:00:00",6,"215","UMCA","Alive",3,NA,32,0,8,0,0,"In","DG, SP, SLC on sprouts",2014
"77","FOP333","4/22/2014 0:00:00",7,"2434","UMCA","Alive",1,NA,40,0,27.5,0,0,"In","HC",2014
"78","FOP333","4/22/2014 0:00:00",7,"2439","UMCA","Alive",1,NA,24,0,14.6,0,0,"In","HC",2014
"79","FOP333","4/22/2014 0:00:00",5,"2894","UMCA","Alive",1,NA,0,0,14.2,0,0,"In","HC",2014
"80","FOP333","4/22/2014 0:00:00",7,"2440","UMCA","Alive",1,NA,9,0,24.1,0,0,"In","HC",2014
"81","FOP333","4/22/2014 0:00:00",7,"2442","UMCA","Alive",1,NA,94,0,18.7,0,0,"In","",2014
"82","FOP333","4/22/2014 0:00:00",5,"2890","UMCA","Alive",1,NA,1,0,24.5,0,0,"In","HC",2014
"83","FOP333","4/22/2014 0:00:00",7,"2898","UMCA","Alive",1,NA,3,0,21.2,0,0,"In","HC",2014
"84","FOP333","4/22/2014 0:00:00",1,"1003","QUAG","Alive",1,NA,NA,1,41,0,0,"In","",2014
"85","FOP333","4/22/2014 0:00:00",8,"154","UMCA","Alive",1,NA,24,0,28.9,0,0,"Out","HC",2014
"86","FOP333","4/22/2014 0:00:00",11,"218","UMCA","Alive",1,NA,34,0,18.9,0,0,"Out","",2014
"87","FOP333","4/22/2014 0:00:00",8,"219","UMCA","Alive",1,NA,89,0,18.8,0,0,"Out","",2014
"88","FOP333","4/22/2014 0:00:00",8,"2432","UMCA","Alive",1,NA,64,0,23.9,0,0,"Out","",2014
"89","FOP333","4/22/2014 0:00:00",9,"2802","UMCA","Alive",1,NA,0,0,20.9,0,0,"In","HC",2014
"90","FOP333","4/22/2014 0:00:00",9,"2806","UMCA","Alive",1,NA,28,0,20.5,0,0,"In","HC",2014
"91","FOP333","4/22/2014 0:00:00",7,"207","UMCA","Alive",1,NA,191,0,12.8,0,0,"In","",2014
"92","FOP333","4/22/2014 0:00:00",7,"2897","UMCA","Alive",1,NA,4,0,29.5,0,0,"In","",2014
"93","FOP333","4/22/2014 0:00:00",1,"2428","UMCA","Alive",1,NA,6,0,24.5,0,0,"In","HC",2014
"94","FOP333","4/22/2014 0:00:00",4,"2435","UMCA","Alive",1,NA,17,0,26.8,0,0,"In","DF",2014
"95","FOP333","4/22/2014 0:00:00",2,"208","UMCA","Alive",1,NA,41,0,12.5,0,0,"In","",2014
"96","FOP333","4/22/2014 0:00:00",12,"206","UMCA","Dead",NA,3,NA,0,15.4,0,0,"In","",2014
"97","FOP333","4/22/2014 0:00:00",4,"204","UMCA","Alive",1,NA,127,0,96.1,0,0,"In","",2014
"98","FOP333","4/22/2014 0:00:00",1,"203","UMCA","Alive",1,NA,0,0,26.1,0,0,"In","HC",2014
"99","FOP333","4/22/2014 0:00:00",4,"185","UMCA","Alive",1,NA,56,0,16.2,0,0,"In","",2014
"100","FOP333","4/22/2014 0:00:00",4,"180","UMCA","Alive",1,NA,67,0,25,0,0,"In","DBH estimated",2014
"101","FOP333","4/22/2014 0:00:00",2,"223","UMCA","Dead",NA,4,NA,0,6.5,0,0,"In","DG",2014
"102","FOP333","4/22/2014 0:00:00",3,"217","UMCA","Alive",1,NA,58,0,6.1,0,0,"In","",2014
"103","FOP333","4/22/2014 0:00:00",1,"205","UMCA","Alive",1,NA,12,0,30.8,0,0,"In","HC",2014
"104","FOP340","4/7/2014 0:00:00",5,"5299","UMCA","Alive",1,NA,58,0,28.8,0,0,"Out","",2014
"105","FOP340","4/7/2014 0:00:00",1,"214","UMCA","Alive",1,NA,62,0,12.9,0,0,"Out","HC",2014
"106","FOP340","4/7/2014 0:00:00",2,"210","UMCA","Alive",1,NA,32,0,12.5,0,0,"Out","",2014
"107","FOP340","4/7/2014 0:00:00",3,"179","UMCA","Alive",1,NA,103,0,3.3,0,0,"Out","",2014
"108","FOP340","4/7/2014 0:00:00",4,"5300","UMCA","Alive",1,NA,23,0,11.4,0,0,"Out","",2014
"109","FOP340","4/7/2014 0:00:00",3,"1017","QUAG","Alive",1,NA,NA,0,30.1,0,0,"In","",2014
"110","FOP340","4/7/2014 0:00:00",4,"5207","QUAG","Alive",2,NA,NA,1,43.7,0,0,"In","",2014
"111","FOP340","4/7/2014 0:00:00",4,"5294","QUAG","Alive",NA,NA,NA,0,40.3,0,0,"In","",2014
"112","FOP340","4/7/2014 0:00:00",3,"1016","QUAG","Alive",2,NA,NA,0,19.6,0,0,"In","SP, shaded",2014
"113","FOP340","4/7/2014 0:00:00",3,"1015","QUAG","Alive",1,NA,NA,0,20.9,0,0,"In","",2014
"114","FOP340","4/7/2014 0:00:00",3,"1013","QUAG","Alive",2,NA,NA,0,16.5,0,0,"In","SP, shaded out",2014
"115","FOP340","4/7/2014 0:00:00",2,"1011","QUAG","Alive",2,NA,NA,0,20.2,0,0,"In","",2014
"116","FOP340","4/7/2014 0:00:00",2,"1010","QUAG","Alive",1,NA,NA,0,16.7,0,0,"In","",2014
"117","FOP340","4/7/2014 0:00:00",2,"1012","QUAG","Alive",2,NA,NA,0,26.6,0,0,"In","",2014
"118","FOP340","4/7/2014 0:00:00",3,"1014","QUAG","Alive",1,NA,NA,0,30.5,0,0,"In","",2014
"119","FOP340","4/7/2014 0:00:00",1,"1009","QUAG","Alive",2,NA,NA,0,29,0,0,"Out","",2014
"120","FOP340","4/7/2014 0:00:00",1,"1008","QUAG","Dead",NA,2,NA,0,15.7,0,0,"Out","shaded out",2014
"121","JROTH01","4/8/2014 0:00:00",1,"1637","UMCA","Alive",1,NA,57,0,11.7,0,0,"In","AG",2014
"122","JROTH01","4/8/2014 0:00:00",7,"258","UMCA","Alive",1,NA,1,0,24.2,0,0,"Out","",2014
"123","JROTH01","4/8/2014 0:00:00",2,"4378","UMCA","Alive",1,NA,116,0,19.2,0,0,"In","",2014
"124","JROTH01","4/8/2014 0:00:00",9,"272","UMCA","Alive",1,NA,33,0,34,0,0,"Out","",2014
"125","JROTH01","4/8/2014 0:00:00",4,"224","UMCA","Alive",1,NA,28,0,33.7,0,0,"Out","HC",2014
"126","JROTH01","4/8/2014 0:00:00",5,"192","UMCA","Alive",1,NA,3,0,34.8,0,0,"Out","HC",2014
"127","JROTH01","4/8/2014 0:00:00",7,"273","UMCA","Alive",2,NA,33,0,20.2,0,0,"Out","AG",2014
"128","JROTH01","4/8/2014 0:00:00",3,"277","UMCA","Alive",1,NA,8,0,28.5,0,0,"In","HC",2014
"129","JROTH01","4/8/2014 0:00:00",6,"280","UMCA","Alive",1,NA,122,0,21,0,0,"Out","",2014
