"","plot","year","tag","status","LIDE","QUAG","QUAG x QUWI","QUCH","QUKE","QUKE X QUAG","QUWI","UMCA","Unknown sp."
"69","ANN01",2014,"838","Alive",NA,NA,NA,NA,NA,NA,NA,4.5,NA
"70","ANN01",2014,"841","Alive",NA,NA,NA,NA,NA,NA,NA,26.4,NA
"71","ANN01",2014,"844","Alive",NA,NA,NA,NA,NA,NA,NA,10.5,NA
"72","ANN01",2014,"862","Alive",NA,NA,NA,NA,NA,NA,NA,13.5,NA
"73","ANN01",2014,"875","Alive",NA,NA,NA,NA,NA,NA,NA,26,NA
"74","ANN01",2014,"879","Alive",NA,NA,NA,NA,NA,NA,NA,8.2,NA
"75","ANN01",2014,"884","Alive",NA,NA,NA,NA,NA,NA,NA,6.4,NA
"76","ANN01",2014,"887","Alive",NA,NA,NA,NA,NA,NA,NA,18,NA
"77","ANN01",2014,"889","Alive",NA,NA,NA,NA,NA,NA,NA,14.5,NA
"78","ANN01",2014,"900","Alive",NA,NA,NA,NA,NA,NA,NA,14,NA
"79","ANN02",2003,"1498","Alive",NA,NA,NA,NA,18.8,NA,NA,NA,NA
"80","ANN02",2003,"1499","Alive",NA,NA,NA,NA,21.5,NA,NA,NA,NA
"81","ANN02",2004,"227","Alive",NA,NA,NA,NA,NA,NA,NA,20,NA
"82","ANN02",2004,"354","Alive",NA,NA,NA,NA,NA,NA,NA,12.5,NA
"83","ANN02",2004,"501","Alive",NA,NA,NA,NA,NA,NA,NA,16.5,NA
"84","ANN02",2004,"531","Alive",NA,NA,NA,NA,NA,NA,NA,11.5,NA
"85","ANN02",2004,"534","Alive",NA,NA,NA,NA,NA,NA,NA,9,NA
"86","ANN02",2004,"535","Alive",NA,NA,NA,NA,NA,NA,NA,14,NA
"87","ANN02",2004,"545","Alive",NA,NA,NA,NA,NA,NA,NA,15.5,NA
"88","ANN02",2004,"559","Alive",NA,NA,NA,NA,NA,NA,NA,19,NA
"89","ANN02",2004,"560","Alive",NA,NA,NA,NA,NA,NA,NA,9.75,NA
"90","ANN02",2004,"599","Alive",NA,NA,NA,NA,NA,NA,NA,15.25,NA
"91","ANN02",2004,"640","Alive",NA,NA,NA,NA,NA,NA,NA,13,NA
"92","ANN02",2005,"1496","Dead",NA,NA,NA,NA,18,NA,NA,NA,NA
"93","ANN02",2005,"1497","Alive",NA,NA,NA,NA,19,NA,NA,NA,NA
"94","ANN02",2005,"1498","Alive",NA,NA,NA,NA,18.8,NA,NA,NA,NA
"95","ANN02",2005,"1499","Alive",NA,NA,NA,NA,21.5,NA,NA,NA,NA
"96","ANN02",2012,"1497","Dead",NA,NA,NA,NA,18.5,NA,NA,NA,NA
"97","ANN02",2012,"1499","Alive",NA,NA,NA,NA,21.6,NA,NA,NA,NA
"98","ANN02",2012,"354","Alive",NA,NA,NA,NA,NA,NA,NA,14.3,NA
"99","ANN02",2012,"501","Alive",NA,NA,NA,NA,NA,NA,NA,19.4,NA
"100","ANN02",2012,"531","Alive",NA,NA,NA,NA,NA,NA,NA,11.3,NA
"101","ANN02",2012,"534","Alive",NA,NA,NA,NA,NA,NA,NA,10.6,NA
"102","ANN02",2012,"535","Alive",NA,NA,NA,NA,NA,NA,NA,13.6,NA
"103","ANN02",2012,"545","Alive",NA,NA,NA,NA,NA,NA,NA,15.8,NA
"104","ANN02",2012,"559","Alive",NA,NA,NA,NA,NA,NA,NA,21.6,NA
"105","ANN02",2012,"560","Alive",NA,NA,NA,NA,NA,NA,NA,9.9,NA
"106","ANN02",2012,"599","Alive",NA,NA,NA,NA,NA,NA,NA,16,NA
"107","ANN02",2012,"640","Alive",NA,NA,NA,NA,NA,NA,NA,12.7,NA
"108","ANN02",2014,"1496","Dead",NA,NA,NA,NA,14,NA,NA,NA,NA
"109","ANN02",2014,"1497","Dead",NA,NA,NA,NA,18.9,NA,NA,NA,NA
"110","ANN02",2014,"1498","Dead",NA,NA,NA,NA,17,NA,NA,NA,NA
"111","ANN02",2014,"1499","Alive",NA,NA,NA,NA,21.5,NA,NA,NA,NA
"112","ANN02",2014,"227","Alive",NA,NA,NA,NA,NA,NA,NA,20.4,NA
"113","ANN02",2014,"354","Alive",NA,NA,NA,NA,NA,NA,NA,14.2,NA
"114","ANN02",2014,"501","Alive",NA,NA,NA,NA,NA,NA,NA,19.5,NA
"115","ANN02",2014,"531","Alive",NA,NA,NA,NA,NA,NA,NA,11.7,NA
"116","ANN02",2014,"534","Alive",NA,NA,NA,NA,NA,NA,NA,10.8,NA
"117","ANN02",2014,"535","Alive",NA,NA,NA,NA,NA,NA,NA,14,NA
"118","ANN02",2014,"545","Alive",NA,NA,NA,NA,NA,NA,NA,15.9,NA
"119","ANN02",2014,"559","Alive",NA,NA,NA,NA,NA,NA,NA,22.5,NA
"120","ANN02",2014,"560","Alive",NA,NA,NA,NA,NA,NA,NA,9.7,NA
"121","ANN02",2014,"599","Alive",NA,NA,NA,NA,NA,NA,NA,15.8,NA
"122","ANN02",2014,"640","Alive",NA,NA,NA,NA,NA,NA,NA,12.8,NA
"123","ANN03",2004,"3177","Alive",NA,NA,NA,NA,NA,NA,NA,6.1,NA
"124","ANN03",2004,"3178","Alive",NA,NA,NA,NA,NA,NA,NA,23.4,NA
"125","ANN03",2004,"3179","Alive",NA,NA,NA,NA,NA,NA,NA,17.7,NA
"126","ANN03",2004,"3180","Alive",NA,NA,NA,NA,NA,NA,NA,22.4,NA
"127","ANN03",2004,"524","Alive",NA,NA,NA,NA,NA,NA,NA,4,NA
"128","ANN03",2004,"537","Alive",NA,NA,NA,NA,NA,NA,NA,13,NA
"129","ANN03",2004,"569","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
"130","ANN03",2004,"573","Alive",NA,NA,NA,NA,NA,NA,NA,15.5,NA
"131","ANN03",2004,"574","Alive",NA,NA,NA,NA,NA,NA,NA,12.5,NA
"132","ANN03",2004,"601","Alive",NA,NA,NA,NA,NA,NA,NA,12,NA
"133","ANN03",2004,"602","Alive",NA,NA,NA,NA,NA,NA,NA,6.5,NA
"134","ANN03",2004,"612","Alive",NA,NA,NA,NA,NA,NA,NA,7.25,NA
"135","ANN03",2004,"614","Alive",NA,NA,NA,NA,NA,NA,NA,20.5,NA
"136","ANN03",2004,"615","Alive",NA,NA,NA,NA,NA,NA,NA,4.25,NA
"137","ANN03",2004,"617","Alive",NA,NA,NA,NA,NA,NA,NA,1.75,NA
"138","ANN03",2004,"621","Alive",NA,NA,NA,NA,NA,NA,NA,10.5,NA
"139","ANN03",2004,"622","Alive",NA,NA,NA,NA,NA,NA,NA,2.25,NA
"140","ANN03",2004,"626","Alive",NA,NA,NA,NA,NA,NA,NA,4.25,NA
"141","ANN03",2004,"635","Alive",NA,NA,NA,NA,NA,NA,NA,2,NA
"142","ANN03",2004,"638","Alive",NA,NA,NA,NA,NA,NA,NA,1.25,NA
"143","ANN03",2004,"642","Alive",NA,NA,NA,NA,NA,NA,NA,5,NA
"144","ANN03",2004,"651","Alive",NA,NA,NA,NA,NA,NA,NA,53.5,NA
"145","ANN03",2004,"669","Alive",NA,NA,NA,NA,NA,NA,NA,15.25,NA
"146","ANN03",2004,"674","Alive",NA,NA,NA,NA,NA,NA,NA,8,NA
"147","ANN03",2004,"679","Alive",NA,NA,NA,NA,NA,NA,NA,10,NA
"148","ANN03",2004,"680","Alive",NA,NA,NA,NA,NA,NA,NA,12.25,NA
"149","ANN03",2004,"693","Alive",NA,NA,NA,NA,NA,NA,NA,40,NA
"150","ANN03",2006,"663","Alive",NA,NA,NA,NA,NA,NA,NA,7.2,NA
"151","ANN03",2007,"663","Alive",NA,NA,NA,NA,NA,NA,NA,7.6,NA
"152","ANN03",2010,"3178b","Alive",NA,NA,NA,NA,NA,NA,NA,2.9,NA
"153","ANN03",2010,"3179b","Alive",NA,NA,NA,NA,NA,NA,NA,2.8,NA
"154","ANN03",2010,"5530","Alive",NA,NA,NA,NA,NA,NA,NA,2.2,NA
"155","ANN03",2010,"5536","Alive",NA,NA,NA,NA,NA,NA,NA,7.5,NA
"156","ANN03",2010,"5537","Alive",NA,NA,NA,NA,NA,NA,NA,2.5,NA
