"plotid","X","Y","ppt04dys_r","ppt05dys_r","ppt06dys_r","ppt07dys_r","ppt08dys_r","ppt09dys_r","ppt10dys_r","ppt11dys_r","ppt12dys_r","ppt14dys_r","dys04c2d","dys04a3d","dys05a2d","dys05a3d","dys06b2d","dys06b3d","dys07a2d","dys07c3d","dys08c2d","dys08a3d","dys09a2d","dys09b3d","dys10c2d","dys10a3d","dys11b2d","dys11a3d","dys12b2d","dys12d3d","dys14a2d","dys14b3d","ppt04dys_v","ppt05dys_v","ppt06dys_v","ppt07dys_v","ppt08dys_v","ppt09dys_v","ppt10dys_v","ppt11dys_v","ppt12dys_v","ppt14dys_v","ppt04tot_r","ppt05tot_r","ppt06tot_r","ppt07tot_r","ppt08tot_r","ppt09tot_r","ppt10tot_r","ppt11tot_r","ppt12tot_r","ppt14tot_r","ppt04b2d","ppt04a3d","ppt05a2d","ppt05c3d","ppt06a2d","ppt06b3d","ppt07c2d","ppt07a3d","ppt08c2d","ppt08e3d","ppt09b2d","ppt09a3d","ppt10b2d","ppt10a3d","ppt11b2d","ppt11b3d","ppt12c2d","ppt12b3d","ppt14b2d","ppt14b3d","ppt04tot_v","ppt05tot_v","ppt06tot_v","ppt07tot_v","ppt08tot_v","ppt09tot_v","ppt10tot_v","ppt11tot_v","ppt12tot_v","ppt14tot_v","pptsum04","pptsum05","pptsum06","pptsum07","pptsum08","pptsum09","pptsum10"
"HALOW02",540498,4240201,29.6834496625581,-76.991183737996,34.4201040819725,-47.2964641809515,6.21801463128589,-17.914226060577,0.644356830251864,-38.421265795683,-58.0774560688924,-41.8492148824595,76.22929,70.66187,76.01418,72.7954,88.4946,86.77726,55.52724,54.3992,51.58121,57.54051,63.05675,64.22904,68.10595,76.5868,76.23004,80.05109,47.80937,53.16741,49.65913,44.9543,79,81,82,59,50,66,58,82,49,44,638.522004912898,4639.42506472602,1780.63912132781,347.316227234076,496.238565502824,554.432634287768,651.155104851807,651.155104851807,636.136434360255,391.483879228032,717.4897,674.6328,918.9274,907.6735,1007.967,950.7736,594.8046,534.8027,642.3229,580.898,642.4264,583.3821,792.3316,796.0574,942.3698,931.9495,530.61,528.7966,570.5659,556.0269,681.228,936.244,978.8,599.694,714.248,629.92,815.848,1035.05,525.526,627.38,1032.61,1117.310017,1507.370001,662.899995,737.809991,710.840004,983.32999
"HOOD01",537419,4258560,32.2274760034568,-101.391374257084,44.9359250305956,-55.1835932065466,11.6364026700456,-8.72292568584773,10.5845051082289,-43.4564803450411,-65.2971349088124,-54.0715474060452,71.07171,66.76875,40.43714,55.12557,96.45763,90.02734,45.24388,48.62399,57.81134,58.88404,69.86337,68.10973,80.55618,81.20747,77.58183,88.07284,49.84107,55.82872,42.0725,42.29332,76,27,98,31,49,68,77,88,48,47,1229.2193814946,4620.56592096927,2735.95952245279,444.835055386726,616.449566342682,700.448341538832,967.53118317605,967.53118317605,817.662826240585,448.716470421543,909.329,932.6817,411.6535,502.7021,1387.774,1364.239,596.01,558.7007,680.0538,641.7869,645.3385,656.7518,946.665,886.3494,1130.238,1052.098,694.6818,676.9985,653.2111,642.4325,991.362,395.986,1427.48,433.578,762,778.764,1081.024,1145.794,727.456,684.276,1168.26,1140.640015,1605.680035,748.400002,777.730001,765.869987,1028.619984
"HOOD02",537413,4258105,28.6365764352532,-100.107024117142,44.5783009554299,-55.7900524754262,11.5086027784719,-7.7288740041438,10.6984577204544,-45.5715822797063,-66.9745163963989,-53.6468496975237,68.94371,66.66302,41.59843,56.88944,96.56129,89.1263,44.83837,48.58041,59.01532,59.11492,70.93555,68.67312,80.93279,81.33155,75.80559,86.21156,50.21284,56.2073,42.07664,42.41353,76,27,98,31,49,68,77,88,61,47,1198.24688544621,4632.51002370497,2549.61123626711,440.37419310227,627.716052856654,747.31846938258,959.919017607081,959.919017607081,832.326620634454,493.276368517499,834.3195,837.4706,431.6895,495.4879,1372.702,1420.841,578.6454,598.1974,674.2595,667.3293,615.6917,622.5693,936.0512,877.1769,1065.72,1004.233,692.4394,687.5287,646.5335,667.416,991.362,395.986,1427.48,433.578,762,778.764,1081.024,1145.794,610.87,684.276,1192.420023,1159.590019,1637.019972,763.090009,790.860015,778.490007,1039.279999
"HOOD03",539143,4257030,17.4000022435291,-98.0162887266752,44.4355469677019,-59.9347920317898,11.0088690154817,-5.85080057591205,10.4262756059682,-54.7595859235683,-75.5299304226516,-53.5491414956465,49.17406,64.33915,39.27462,55.70972,96.46772,87.92639,38.11567,46.43787,59.01255,59.10466,71.60382,68.31695,81.41821,81.37392,64.79298,79.2143,49.40107,55.5682,43.12991,43.0593,26,34,98,31,49,68,77,37,48,47,1081.52197102715,4691.01492206306,1920.80316415052,436.540310396372,685.827606603119,932.340359572831,945.853586288933,945.853586288933,905.644124981779,667.634894649915,529.0336,513.9026,348.3178,462.3716,1382.132,1264.12,498.7375,504.7774,715.8827,623.1794,624.48,646.106,932.1663,874.0665,627.4279,682.7811,712.4094,668.987,665.4005,645.1898,374.904,354.584,1427.48,433.578,762,778.764,1081.024,515.112,727.456,684.276,1336.219997,1270.880005,1821.729967,855.029994,869.980004,857.490021,1116.170017
"HOOD04",538682,4257182,21.6822471932589,-98.508964321739,44.3640253257335,-58.3285369372076,11.1025402920272,-6.80047412942666,10.3251555312414,-51.2786980013411,-72.2960454057376,-53.4451223456966,52.95507,64.52833,39.54492,56.15089,96.5678,88.17004,39.50733,46.83061,59.42609,59.16364,71.67758,68.45777,81.39071,81.39758,66.74514,80.70989,49.59945,55.76102,42.82538,42.93848,26,34,98,31,49,68,77,37,48,47,1115.20107080613,4670.45762843187,2143.92002306155,436.90300644924,662.660184294878,860.732416184178,946.371573897554,946.371573897554,875.822864128987,601.467720739237,568.358,519.1113,363.6784,442.9768,1378.138,1353.784,512.3923,456.303,703.0584,642.9765,616.8912,637.0068,932.104,876.1478,709.9077,748.3872,708.2983,686.3077,660.5665,670.1343,374.904,354.584,1427.48,433.578,762,778.764,1081.024,515.112,727.456,684.276,1295.489997,1238.760002,1763.669979,824.530002,843.199991,832.510014,1089.179989
"HOOD05",538687,4256610,17.5398116583088,-96.9791924281138,43.9316502498078,-59.0252931658898,10.939313604373,-5.69258868080871,10.422894609051,-53.7237239434869,-74.2375717628219,-52.9330485328861,52.95549,65.00874,42.88288,58.61432,96.57145,87.92233,40.03054,47.20241,60.89999,59.46421,72.80703,68.92218,82.0319,81.46042,65.17937,79.45757,50.30532,56.21815,42.90343,42.95456,26,34,98,31,49,68,77,37,61,47,1077.70195471948,4684.35006411492,1926.23412557727,431.585150795995,675.506273937063,914.64866575405,936.809557370914,936.809557370914,892.451482804619,652.940463345623,514.7162,558.9018,425.3133,486.8228,1355.984,1260.234,495.2145,502.4929,696.3963,623.237,587.0663,598.0753,915.574,857.5462,656.436,714.7514,705.4446,668.2855,646.7644,645.1016,374.904,354.584,1427.48,433.578,762,778.764,1081.024,515.112,610.87,684.276,1332.339984,1267.940002,1816.859983,851.77001,865.639994,852.929996,1111.739998
"HOOD07",539549,4255867,28.4702294972662,-97.9212177370304,43.7294313271608,-56.1942819810562,10.6327433371659,-10.0542598247808,8.74924190966385,-46.5454428163398,-68.1793679114518,-52.7304045456142,51.09459,64.13683,45.31824,59.13772,96.28424,88.9646,39.12717,46.90707,60.94587,59.52017,73.49472,69.25455,82.72875,81.65764,61.33056,81.63222,50.53341,56.12167,43.79367,43.11937,26,34,98,31,57,68,89,37,61,47,1097.34153247855,4653.38195326919,2384.70721804413,433.343552624459,625.53531190843,750.331313446502,920.033334629017,920.033334629017,824.062087545573,507.244976004872,456.3994,717.9519,474.4319,516.2807,1341.649,1380.417,459.6145,591.1914,721.9467,697.5604,578.7037,586.2581,899.6988,848.6663,532.065,659.4449,711.3306,713.5503,640.6689,676.5876,374.904,354.584,1427.48,433.578,902.97,778.764,829.31,515.112,610.87,684.276,1203.399984,1174.579994,1658.609966,766.460018,798.32999,787.22998,1040.329998
"JLSP01",540340,4244942,34.0169666014818,-83.1133793713863,36.8299498245964,-47.9584017249432,7.4865361335568,-16.8936481903474,2.6660831239647,-36.848068143337,-57.3134442337974,-44.6458381918416,76.0566,69.04482,70.84003,70.70685,92.87563,87.52621,53.15018,52.77789,58.45787,59.70472,63.68941,64.95844,78.95908,80.91346,70.50781,76.66706,48.19823,52.90726,42.80769,45.4374,76,63,104,53,66,72,87,52,53,63,796.167896326734,4625.98085035584,2182.06701343825,370.723675975567,505.820108146468,529.353023505704,723.141037173059,723.141037173059,654.115516539389,351.019025222972,875.3777,761.7425,899.5748,889.2525,1071.377,1081.97,584.1858,512.5544,575.0862,556.4271,673.1301,545.3596,871.4492,863.7059,748.9849,742.3642,665.0652,633.0123,458.6071,520.7112,852.424,876.3,758.952,594.106,482.346,588.772,1031.2,339.852,714.1,313.182,949.149994,1021.079994,1389.589973,597.540004,671.219986,667.89999,903.159988
"JLSP02",540211,4245241,34.3612574436312,-83.4442561174769,36.9450803376802,-47.8579956129362,7.58567300238176,-16.750068497247,2.85122052181932,-36.5525397034045,-57.033280429781,-44.7732795958721,75.49536,68.86357,71.10278,70.75152,93.25916,87.60764,53.0342,52.71199,58.82952,59.71464,63.93587,65.08473,79.95411,81.24286,70.91901,76.57701,48.76562,52.98324,42.50328,44.94516,76,63,104,53,66,72,87,52,53,63,809.089813364425,4623.5070990696,2215.60029822167,371.809679858222,504.960474546104,524.693636284827,727.788736756363,727.788736756363,653.542209574196,345.486282410737,885.5237,767.7254,898.8818,885.8739,1076.572,1100.639,581.3993,508.6136,576.5211,556.6457,672.7826,546.233,885.1783,879.7907,804.0475,783.8974,673.0648,636.344,473.2527,509.9792,852.424,876.3,758.952,594.106,482.346,588.772,1031.2,339.852,714.1,313.182,951.199994,1020.080017,1389.999994,600.429993,674.039984,668.709984,905.339994
"JLSP03",538940,4244790,27.8025672889179,-80.9566794418523,36.1460558068409,-47.9352839433847,7.65669163190857,-13.7129017445169,3.90829684096864,-39.1023250171871,-58.4067989370538,-43.7673265851289,74.26289,66.06524,75.63245,72.83637,93.93404,87.6526,53.41508,52.99267,57.54934,57.88928,63.30681,65.05228,78.73299,80.91106,73.62801,81.29502,47.92917,52.87988,39.88165,43.01505,78,82,104,53,46,72,85,86,52,33,790.752265361552,4631.40409038103,1941.24846820964,361.601698935023,517.0365127438,594.403217014427,721.892222012528,721.892222012528,671.84961803027,409.023003205795,791.9682,683.668,942.2264,916.6071,1053.003,938.3719,571.2793,553.2869,623.23,551.1282,688.3267,545.6278,875.1393,858.0756,977.3251,915.6404,659.9026,633.8912,560.2639,622.6753,704.596,991.362,758.952,594.106,697.738,588.772,894.3,1178.4,698.6,642.6,1105.650016,1133.869995,1572.320015,705.110009,757.789998,741.439999,1094.360023
