"","plotid","hrs04_14_20","hrs04_abv25","hrs04_blw10","hrs05_14_20","hrs05_abv25","hrs05_blw10","hrs06_14_20","hrs06_abv25","hrs06_blw10","hrs07_14_20","hrs07_abv25","hrs07_blw10","hrs08_14_20","hrs08_abv25","hrs08_blw10","hrs09_14_20","hrs09_abv25","hrs09_blw10","hrs10_14_20","hrs10_abv25","hrs10_blw10","hrs11_14_20","hrs11_abv25","hrs11_blw10","hrs12_14_20","hrs12_abv25","hrs12_blw10","hrs14_14_20","hrs14_abv25","hrs14_blw10"
"47","BADGE01",492,83,3051,553,27,3098,508,39,3152,582,47,3103,487,36,3351,609,87,2996,419,24,3356,513,26,3167,529,85,3116,594,25,2404
"48","BELTA01",686,80,2902,703,21,2691,671,43,2815,810,39,2598,654,54,2863,808,74,2653,530,2,3291,673,18,3144,794,64,2865,953,18,1543
"49","BELTA02",727,79,2790,734,17,2517,808,52,2710,950,40,2397,697,63,2683,895,89,2473,599,1,3038,787,19,2992,833,69,2561,1251,17,1359
"50","BELTA03",724,65,2826,668,12,2703,791,35,2737,917,35,2505,664,40,2865,883,79,2561,573,1,3050,772,15,2989,790,60,2614,1213,16,1391
"51","BELTA04",660,71,2976,642,19,2853,627,34,2833,791,41,2648,621,43,2923,809,72,2706,482,NA,3352,651,13,3145,736,56,2917,909,14,1578
"52","BELTA07",767,103,2746,711,28,2494,785,56,2680,927,55,2355,740,59,2635,915,97,2436,658,10,2991,840,30,2884,875,82,2483,1180,24,1345
"53","BELTA08",569,58,2904,563,8,2983,511,29,3125,635,38,3001,509,36,3205,653,66,2863,383,2,3249,568,13,3171,620,61,3010,634,15,2268
"54","BERGE01",764,70,2643,639,18,2615,651,39,2658,823,42,2489,717,24,2813,816,68,2504,540,3,3102,664,17,2847,695,61,2702,769,21,1667
"55","BOUV01",668,143,2615,851,41,2552,712,74,2599,801,102,2635,678,43,2928,779,130,2665,656,33,2932,714,58,2740,895,119,2595,813,73,2103
"56","BOUV02",759,127,2286,783,30,2196,751,68,2277,890,88,2179,776,52,2477,879,109,2213,695,27,2674,787,34,2554,903,103,2228,992,35,1253
"57","BOUV03",722,88,2522,773,19,2498,670,53,2542,827,59,2443,726,29,2676,791,95,2545,619,13,2957,691,33,2811,789,75,2569,907,18,1748
"58","BOUV09",550,71,3089,521,19,3148,504,40,3165,594,46,3081,470,45,3306,617,71,3035,427,4,3537,532,16,3270,552,68,3107,635,16,2371
"59","BOWES01",753,64,2483,779,11,2266,908,34,2489,975,45,2061,827,17,2404,935,107,2186,717,3,2769,790,17,2659,784,55,2180,1385,20,1124
"60","BOWES02",721,91,2702,712,24,2442,834,59,2647,949,56,2190,768,38,2496,886,114,2395,671,3,3053,824,15,2898,827,69,2512,1212,15,1297
"61","BOWES03",781,54,2465,754,13,2334,840,29,2545,916,50,2200,820,21,2493,848,93,2214,670,3,2795,729,15,2673,758,53,2217,1202,18,1164
"62","COCHR01",698,191,2474,860,61,2473,734,102,2502,808,152,2486,712,53,2823,814,195,2533,696,48,2836,730,95,2639,864,124,2437,898,55,1937
"63","COOK01",735,47,2540,687,3,2626,662,12,2636,761,26,2649,610,14,2874,801,61,2615,536,NA,3019,642,16,2796,794,23,2630,878,10,1814
"64","COOK02",710,47,2753,573,2,2877,634,6,2823,688,23,2784,530,11,3072,719,47,2813,462,NA,3304,567,8,3064,628,26,2951,701,7,2004
"65","DOMAN01",790,64,2764,681,14,2454,862,46,2640,975,36,2256,733,51,2576,926,60,2483,518,NA,3223,808,11,2906,671,11,2617,893,12,1433
"66","ELIOT01",583,47,3363,551,9,3318,527,39,3334,678,18,3008,499,10,3257,651,74,3114,416,NA,3817,535,12,3552,586,56,3270,719,9,2425
"67","FERRA01",589,71,2879,642,21,2816,543,42,3006,674,52,2874,557,37,3109,623,83,2984,485,9,3386,534,20,3187,617,62,3014,684,14,2330
"68","FOP04",740,30,3252,641,3,2954,707,15,3041,904,10,2770,572,17,2889,844,45,2758,474,NA,3544,673,4,3405,638,18,3067,1042,NA,1705
"69","FOP324",678,14,3242,685,6,2937,682,27,2988,863,13,2704,593,1,3008,846,48,2779,566,16,3298,500,NA,3440,716,27,3071,942,NA,1693
"70","FOP333",776,47,3030,728,7,2666,757,36,2873,1279,20,2192,665,8,2911,875,62,2639,599,2,2987,909,147,2602,817,22,2876,1269,6,1439
"71","FOP340",647,33,3092,669,4,2867,654,11,3005,809,14,2688,494,7,3116,782,54,2841,480,NA,3342,913,105,2586,695,18,3028,867,4,1804
"72","FRIDE01",756,161,2430,864,35,2444,737,75,2512,879,93,2496,738,47,2793,815,115,2543,703,40,2868,738,74,2681,923,103,2540,818,51,1980
"73","GANAY01",745,101,2981,715,24,2811,687,54,2833,902,62,2550,692,68,2735,819,106,2552,553,13,3112,716,26,3049,767,86,2786,1037,33,1431
"74","GANAY02",733,62,3008,699,13,2672,830,37,2832,937,34,2519,678,63,2723,921,82,2482,591,NA,3136,766,13,3074,753,54,2619,1317,15,1361
"75","GARD01",725,36,3321,614,7,3128,683,32,3149,877,11,2785,575,47,2971,899,68,2721,489,NA,3534,691,12,3401,663,38,3144,951,11,1803
