"","plotid","hrs04_14_20","hrs04_abv25","hrs04_blw10","hrs05_14_20","hrs05_abv25","hrs05_blw10","hrs06_14_20","hrs06_abv25","hrs06_blw10","hrs07_14_20","hrs07_abv25","hrs07_blw10","hrs08_14_20","hrs08_abv25","hrs08_blw10","hrs09_14_20","hrs09_abv25","hrs09_blw10","hrs10_14_20","hrs10_abv25","hrs10_blw10","hrs11_14_20","hrs11_abv25","hrs11_blw10","hrs12_14_20","hrs12_abv25","hrs12_blw10","hrs14_14_20","hrs14_abv25","hrs14_blw10"
"154","SDC03",752,97,2505,786,28,2427,726,53,2445,863,57,2420,762,31,2703,843,87,2385,631,15,2885,764,29,2713,815,87,2539,906,26,1621
"155","SDC04",762,143,2310,878,45,2304,765,67,2277,914,91,2296,761,46,2630,895,182,2286,676,35,2752,787,59,2564,953,104,2362,937,58,1689
"156","SDC05",719,177,2289,917,56,2332,798,93,2380,853,133,2353,706,47,2757,829,162,2512,678,37,2784,770,63,2595,918,137,2491,905,54,1967
"157","SDC06",749,242,2391,861,86,2396,844,123,2366,848,175,2374,713,73,2733,849,187,2469,721,61,2739,902,72,2504,943,138,2528,842,92,2081
"158","SECRET01",679,59,3129,642,19,2938,743,39,2971,821,40,2697,613,66,2923,887,80,2674,512,4,3407,686,14,3222,709,60,2919,998,12,1609
"159","SECRET02",766,72,2844,750,15,2503,866,37,2715,975,37,2331,750,61,2578,951,87,2450,614,NA,3096,819,15,3024,785,60,2563,1250,9,1353
"160","SECRET03",685,75,3017,584,22,2898,636,34,3086,713,35,2878,559,61,3010,823,83,2669,529,5,3333,705,15,3133,701,73,2857,1009,14,1591
"161","SKILE01",772,40,3002,691,4,2649,798,26,2835,990,10,2460,657,33,2696,965,72,2453,581,NA,3112,778,11,3066,739,36,2575,1267,NA,1410
"162","SPAUL01",710,88,2837,710,23,2670,643,50,2846,833,45,2514,635,64,2872,886,88,2554,528,20,3165,705,25,3029,803,91,2777,951,29,1549
"163","SPAUL02",596,97,2884,665,28,2819,593,52,2947,724,53,2750,580,51,3049,737,77,2913,473,12,3397,621,27,3206,686,66,2962,810,27,2082
"164","SPIVY01",775,126,2487,818,27,2482,732,50,2495,857,74,2477,699,39,2737,849,99,2499,649,21,2917,755,47,2728,919,85,2500,920,40,1828
"165","STATE123",610,100,2725,645,23,2799,509,44,3049,628,50,3070,447,45,3315,723,88,2736,477,18,3246,567,31,3054,655,99,2864,752,28,2053
"166","SUGAR01",817,27,3290,641,4,2936,767,42,3088,999,6,2654,780,45,2717,1014,65,2524,627,NA,3348,800,7,3290,601,34,2873,1226,10,1673
"167","SUGAR04",805,34,3200,669,13,2755,803,49,2978,1013,22,2532,773,29,2690,974,95,2487,646,NA,3202,837,11,3167,620,60,2705,1287,15,1538
"168","SUGAR05",763,110,2707,843,27,2496,759,69,2679,913,81,2457,745,69,2665,983,106,2394,642,13,3062,808,27,2973,935,92,2640,1027,45,1434
"169","SUGAR07",719,57,3021,754,18,2693,767,64,2897,875,32,2570,693,22,2772,923,87,2547,567,NA,3261,731,14,3146,742,73,2837,1074,16,1556
"170","SUGAR08",715,117,2865,691,31,2739,627,77,2804,833,76,2533,682,94,2859,845,112,2635,548,21,3300,731,32,3080,832,85,2844,932,29,1563
"171","SUGAR09",550,92,3189,633,29,3090,533,59,3172,669,52,2928,531,78,3142,714,84,2952,442,8,3523,576,21,3385,607,84,3172,700,26,2224
"172","SUGAR11",739,61,3186,597,10,2910,754,41,2880,883,32,2550,675,58,2789,909,79,2530,564,NA,3218,743,13,3115,730,58,2727,1093,12,1461
"173","SUGAR12",758,100,2841,861,20,2452,842,89,2758,1035,69,2355,804,35,2556,1013,119,2309,700,8,2909,868,20,2883,825,98,2401,1397,24,1279
"174","SUGAR13",623,21,3058,462,9,3020,388,25,3124,591,28,3066,348,30,3344,538,42,3061,341,NA,3599,451,6,3299,420,43,3263,425,13,2399
"175","SUGAR15",724,60,2796,784,17,2398,870,45,2710,1023,29,2296,685,65,2567,948,83,2411,633,NA,3009,815,16,2964,728,68,2506,1379,14,1308
"176","SUGAR16",573,94,3093,661,27,2958,544,59,3141,705,55,2961,569,52,3151,716,89,2930,532,7,3404,630,19,3275,729,87,3035,788,26,2228
"177","SUGAR17",720,56,2906,693,10,2465,838,40,2787,964,29,2357,656,46,2651,917,86,2448,634,NA,3066,783,14,3017,738,61,2515,1385,13,1321
"178","SUGAR18",574,99,2987,597,28,2927,550,70,2994,656,63,2783,527,61,3111,665,77,2923,448,6,3510,575,18,3249,594,84,3063,703,18,2179
"179","SUGAR19",734,97,2715,849,25,2492,755,57,2721,942,51,2395,709,65,2727,902,96,2559,623,NA,3183,755,21,3080,853,75,2710,1077,20,1570
"180","SUGAR21",620,30,3431,480,7,3407,521,37,3325,700,15,3012,475,24,3196,769,63,3054,364,NA,3814,501,8,3592,501,45,3433,677,12,2254
"181","SUGAR23",832,51,3286,687,16,2929,779,50,3080,1009,24,2590,713,69,2705,983,80,2543,590,NA,3313,809,12,3293,638,59,2850,1216,12,1664
"182","SUGAR24",826,36,3288,696,12,2893,777,40,3086,1057,12,2602,674,49,2807,968,65,2582,592,NA,3405,793,8,3340,593,40,2904,1194,11,1717
"183","SUGAR30",823,19,3188,696,1,2732,837,45,3036,1095,3,2514,806,15,2677,850,315,2399,884,33,3010,827,11,3216,628,45,2793,1264,17,1610
"184","SUGAR31",748,44,3058,661,13,2617,794,39,2880,940,23,2497,677,61,2677,907,76,2413,611,NA,3223,838,15,3062,656,58,2646,1289,12,1409
"185","SUGAR32",690,104,3151,722,29,2973,611,70,2994,857,61,2683,602,81,2976,853,101,2734,550,19,3462,712,27,3280,771,82,3001,867,29,1853
"186","SUMTV01",742,63,2552,721,7,2632,680,12,2613,789,31,2650,605,15,2924,797,65,2656,580,6,2946,690,26,2779,801,36,2648,846,22,1968
"187","SUMTV02",796,50,2439,695,1,2348,839,15,2467,885,39,2278,731,21,2603,900,65,2299,598,NA,2936,774,18,2765,790,33,2307,1209,15,1218
"188","SVRP01",796,157,2235,905,41,2275,825,84,2243,967,97,2225,804,51,2534,957,144,2301,772,27,2657,828,66,2461,1032,123,2250,1038,40,1683
"189","SVRP02",731,177,2289,908,54,2303,741,100,2390,869,128,2339,737,65,2653,860,161,2383,704,48,2703,759,81,2521,977,137,2357,894,74,1730
"190","TELL02",701,150,2476,761,47,2465,651,83,2498,840,107,2420,712,61,2674,793,147,2538,607,29,2904,713,51,2751,812,117,2592,835,47,1783
"191","TELL03",749,163,2452,793,41,2372,698,92,2425,895,105,2252,847,47,2482,895,153,2311,651,24,2674,808,55,2676,913,132,2357,1029,49,1362
"192","TELL04",726,180,2323,908,58,2328,780,102,2335,871,137,2334,758,55,2693,838,163,2475,705,41,2737,772,64,2563,906,141,2442,967,56,1875
"193","TERRI02",538,57,2973,547,12,2999,511,26,3043,642,42,2964,520,34,3225,636,54,2979,388,2,3487,473,13,3251,474,56,3141,573,15,2288
"194","TERRI03",714,118,2513,727,32,2600,648,54,2638,803,70,2581,717,41,2848,797,199,2461,697,62,2769,711,43,2840,813,93,2682,799,28,1765
"195","VOTRU01",655,80,2658,791,15,2663,687,17,2700,783,40,2817,634,23,3052,749,75,2792,585,8,3081,661,32,2947,803,56,2807,756,24,2252
"196","WATKI01",725,164,2514,830,45,2494,738,82,2532,839,109,2545,718,46,2859,783,131,2653,619,37,2984,719,68,2804,890,113,2636,775,69,2060
"197","YAHNG01",741,46,2714,625,5,2733,652,11,2696,750,18,2635,597,9,2980,789,50,2661,524,4,3128,659,17,2986,659,33,2943,747,13,1920
"198","YAHNG02",780,45,2567,706,6,2431,827,15,2570,848,22,2345,691,9,2684,860,62,2449,570,NA,3067,780,18,2813,776,34,2537,1043,16,1381
"199","YAHNG03",745,41,2721,644,4,2507,869,12,2691,884,20,2342,685,8,2646,917,68,2451,621,NA,3041,746,6,2879,753,20,2426,1340,4,1301
"200","ZEN01",756,71,2605,701,15,2529,739,29,2602,818,47,2455,778,22,2677,856,78,2399,628,2,2930,760,29,2773,808,64,2497,947,23,1484
"201","ZEN02",782,75,2600,733,18,2424,802,34,2577,922,42,2234,770,34,2586,873,99,2464,570,43,3083,784,34,2852,802,103,2531,1013,32,1472
