presence,spp.local,prim.host,spp.scientific,spp.common
24,acma,0,Acer macrophyllum,Big leaf maple
6,qudo,0,Quercus douglasii,Blue oak
157,umca,1,Umbellularia californica,CA bay laurel
90,quke,1,Quercus kelloggii,CA black oak
7,ruur,0,Rubus ursinus,CA blackberry
35,aeca,0,Aesculus californica,CA buckeye
14,coco,0,Corylus cornuta,CA hazelnut
110,lohi,0,Lonicera hispidula,CA honeysuckle
24,quch,1,Quercus chrysolepis,Canyon live oak
133,quag,1,Quercus agrifolia,Coast live oak
12,rhca,0,Rhamnus californica,Coffeeberry
13,bapi,0,Baccharis pilularis,Coyote brush
33,symo,0,Symphoricarpos mollis,Creeping snowberry
73,psme,0,Pseudotsuga menziesii,Douglas fir
35,rogy,0,Rosa gymnocarpa,Dwarf rose
67,arme,0,Arbutus menziesii,Madrone
19,arcto,0,Arctostaphylos species,Manzanita
8,hodi,0,Holodiscus discolor,Ocean spray
77,quga,0,Quercus garryana,Oregon oak
135,todi,0,Toxicodendron diversilobum,Poison oak
19,miau,0,Mimulus aurantiacus,Sticky monkey-flower
76,hear,0,Heteromeles arbutifolia,Toyon
6,qulo,0,Quercus lobata,Valley oak
7,arma,0,Arctostaphylos manzanita,Whiteleaf manzanita
54,other,0,Other,Other
