"","plot","year","species","uninfected_bay_ct","infected_bay_ct","tot_bay"
"1","ANN01",2004,"UMCA",8,15,23
"2","ANN01",2005,"UMCA",6,17,23
"3","ANN01",2006,"UMCA",0,25,25
"4","ANN01",2007,"UMCA",0,23,23
"5","ANN01",2008,"UMCA",0,24,24
"6","ANN01",2009,"UMCA",0,23,23
"7","ANN01",2010,"UMCA",1,23,24
"8","ANN01",2011,"UMCA",0,24,24
"9","ANN01",2012,"UMCA",0,26,26
"10","ANN01",2014,"UMCA",1,23,24
"11","ANN02",2004,"UMCA",2,9,11
"12","ANN02",2005,"UMCA",3,8,11
"13","ANN02",2006,"UMCA",0,11,11
"14","ANN02",2007,"UMCA",0,11,11
"15","ANN02",2008,"UMCA",0,11,11
"16","ANN02",2009,"UMCA",0,11,11
"17","ANN02",2010,"UMCA",0,11,11
"18","ANN02",2011,"UMCA",0,11,11
"19","ANN02",2012,"UMCA",0,10,10
"20","ANN02",2014,"UMCA",0,11,11
"21","ANN03",2004,"UMCA",4,23,27
"22","ANN03",2005,"UMCA",3,24,27
"23","ANN03",2006,"UMCA",0,27,27
"24","ANN03",2007,"UMCA",1,24,25
"25","ANN03",2008,"UMCA",0,24,24
"26","ANN03",2009,"UMCA",0,27,27
"27","ANN03",2010,"UMCA",0,41,41
"28","ANN03",2011,"UMCA",0,40,40
"29","ANN03",2012,"UMCA",0,45,45
"30","ANN03",2014,"UMCA",2,40,42
"31","ANN04",2004,"UMCA",4,8,12
"32","ANN04",2005,"UMCA",3,10,13
"33","ANN04",2006,"UMCA",2,11,13
"34","ANN04",2007,"UMCA",0,13,13
"35","ANN04",2008,"UMCA",0,13,13
"36","ANN04",2009,"UMCA",0,13,13
"37","ANN04",2010,"UMCA",0,13,13
"38","ANN04",2011,"UMCA",0,13,13
"39","ANN04",2012,"UMCA",1,12,13
"40","ANN04",2014,"UMCA",1,11,12
"41","ANN05",2003,"UMCA",0,15,15
"42","ANN05",2004,"UMCA",0,12,12
"43","ANN05",2005,"UMCA",0,15,15
"44","ANN05",2006,"UMCA",0,15,15
"45","ANN05",2008,"UMCA",0,15,15
"46","ANN05",2009,"UMCA",0,14,14
"47","ANN05",2010,"UMCA",0,14,14
"48","ANN05",2011,"UMCA",0,14,14
"49","ANN05",2012,"UMCA",0,14,14
"50","ANN05",2014,"UMCA",0,14,14
"51","ANN06",2004,"UMCA",2,6,8
"52","ANN06",2005,"UMCA",0,9,9
"53","ANN06",2006,"UMCA",9,1,10
"54","ANN06",2007,"UMCA",0,10,10
"55","ANN06",2008,"UMCA",0,10,10
"56","ANN06",2009,"UMCA",0,10,10
"57","ANN06",2010,"UMCA",0,10,10
"58","ANN06",2011,"UMCA",1,9,10
"59","ANN06",2012,"UMCA",0,10,10
"60","ANN06",2014,"UMCA",0,10,10
"61","ANN07",2004,"UMCA",2,1,3
"62","ANN07",2005,"UMCA",1,2,3
"63","ANN07",2006,"UMCA",1,2,3
"64","ANN07",2007,"UMCA",0,3,3
"65","ANN07",2008,"UMCA",0,3,3
"66","ANN07",2009,"UMCA",0,3,3
"67","ANN07",2010,"UMCA",0,3,3
"68","ANN07",2011,"UMCA",0,3,3
"69","ANN07",2012,"UMCA",0,3,3
"70","ANN07",2014,"UMCA",0,3,3
"71","ANN08",2004,"UMCA",0,3,3
"72","ANN08",2005,"UMCA",0,3,3
"73","ANN08",2006,"UMCA",4,0,4
"74","ANN08",2007,"UMCA",0,4,4
"75","ANN08",2008,"UMCA",0,4,4
"76","ANN08",2009,"UMCA",0,4,4
"77","ANN08",2010,"UMCA",0,4,4
"78","ANN08",2011,"UMCA",0,4,4
"79","ANN08",2012,"UMCA",0,5,5
"80","ANN08",2014,"UMCA",0,5,5
"81","ANN09",2004,"UMCA",2,2,4
"82","ANN09",2005,"UMCA",2,2,4
"83","ANN09",2006,"UMCA",0,5,5
"84","ANN09",2007,"UMCA",0,5,5
"85","ANN09",2008,"UMCA",0,5,5
"86","ANN09",2009,"UMCA",0,5,5
"87","ANN09",2010,"UMCA",0,5,5
"88","ANN09",2011,"UMCA",1,4,5
"89","ANN09",2012,"UMCA",0,5,5
"90","ANN09",2014,"UMCA",0,5,5
"91","ANN10",2004,"UMCA",4,1,5
"92","ANN10",2005,"UMCA",4,1,5
"93","ANN10",2006,"UMCA",3,2,5
"94","ANN10",2007,"UMCA",1,4,5
"95","ANN10",2008,"UMCA",0,5,5
"96","ANN10",2009,"UMCA",0,5,5
"97","ANN10",2010,"UMCA",0,5,5
"98","ANN10",2011,"UMCA",0,5,5
"99","ANN10",2012,"UMCA",0,5,5
"100","ANN10",2014,"UMCA",0,5,5
"101","ANN11",2004,"UMCA",0,1,1
"102","ANN11",2005,"UMCA",1,0,1
"103","ANN11",2006,"UMCA",1,0,1
"104","ANN11",2007,"UMCA",0,1,1
"105","ANN11",2008,"UMCA",0,1,1
"106","ANN11",2009,"UMCA",0,1,1
"107","ANN11",2010,"UMCA",0,1,1
"108","ANN11",2011,"UMCA",0,1,1
"109","ANN11",2012,"UMCA",0,1,1
"110","ANN11",2014,"UMCA",0,1,1
"111","ANN12",2004,"UMCA",7,4,11
"112","ANN12",2005,"UMCA",9,2,11
"113","ANN12",2006,"UMCA",0,11,11
"114","ANN12",2007,"UMCA",0,13,13
"115","ANN12",2008,"UMCA",0,13,13
"116","ANN12",2009,"UMCA",0,13,13
"117","ANN12",2010,"UMCA",0,16,16
"118","ANN12",2011,"UMCA",0,16,16
"119","ANN12",2012,"UMCA",0,15,15
"120","ANN12",2014,"UMCA",1,14,15
"121","ANN13",2004,"UMCA",1,4,5
"122","ANN13",2005,"UMCA",2,3,5
"123","ANN13",2006,"UMCA",0,5,5
"124","ANN13",2007,"UMCA",0,5,5
"125","ANN13",2008,"UMCA",0,5,5
"126","ANN13",2009,"UMCA",0,5,5
"127","ANN13",2010,"UMCA",0,5,5
"128","ANN13",2011,"UMCA",0,5,5
"129","ANN13",2012,"UMCA",0,6,6
"130","ANN13",2014,"UMCA",0,6,6
