plotid,x,y
ANN01,532568,4255157
ANN02,532557,4254989
ANN03,533352,4254736
ANN04,532314,4254707
ANN05,533109,4254426
ANN06,531353,4254410
ANN07,530915,4254163
ANN08,531490,4254046
ANN09,531642,4253712
ANN10,531251,4252716
ANN11,531964,4252765
ANN12,533593,4253918
ANN13,532839,4253296
ANN14,533258,4253127
ANN15,533723,4253228
ANN17,534656,4253218
ANN18,532916,4252787
ANN19,532487,4252438
ANN20,532753,4252341
ANN21,533279,4252561
ANN22,533211,4251684
ANN23,533786,4252115
ANN24,534558,4252390
ANN25,534762,4252244
ANN27,535906,4252866
ANN29,534830,4250940
ANN30,535539,4251509
ANN31,536014,4251717
ANN32,535549,4250871
ANN33,536450,4251163
ANN34,535492,4250306
ANN35,536662,4250714
ANN36,530822,4253623
ANN37,534705,4251499
ANN38,535946,4252012
APGAR01,547360,4247383
ARBIT01,540123,4241466
ARBIT02,541154,4242255
ARBIT03,540601,4242621
ARBIT04,540417,4241851
ARBIT05,539634,4242210
ATHEA02,540726,4243304
BACKM02,539622,4257516
BACKM03,540381,4257375
BACKM04,540842,4257027
BACKM05,540224,4257264
BADGE01,535402,4256520
BELTA01,543935,4252405
BELTA02,544031,4252022
BELTA03,544333,4251838
BELTA04,544631,4251425
BELTA07,542726,4251449
BELTA08,543310,4250510
BERGE01,537633,4246497
BOUV01,543187,4246863
BOUV02,543486,4246621
BOUV03,543937,4246578
BOUV09,544664,4248242
BOWES01,540971,4241001
BOWES02,540521,4240654
BOWES03,541624,4240612
BUSH01,537741,4243788
COCHR01,543141,4247150
COOK01,533160,4244516
COOK02,533526,4244088
DOMAN01,537569,4246106
ELIOT01,539162,4241404
FERRA01,546236,4244249
FOP04,535934,4244657
FOP324,535599,4244208
FOP333,535539,4243772
FOP340,535006,4243430
FRIDE01,538233,4249518
GANAY01,545430,4249219
GANAY02,545669,4248943
GARD01,547446,4247641
HALLO01,545142,4249407
HALOW02,540498,4240201
HOOD01,537419,4258560
HOOD02,537413,4258105
HOOD03,539143,4257030
HOOD04,538682,4257182
HOOD05,538687,4256610
HOOD07,539549,4255867
JLSP01,540340,4244942
JLSP02,540211,4245241
JLSP03,538940,4244790
JLSP04,539803,4244462
JLSP05,540335,4244058
JLSP06,539861,4243884
JLSP07,540018,4243338
JLSP08,539632,4243555
JLSP10,539312,4243911
JLSP13,538232,4244705
JLSP14,538172,4244484
JLSP15,537631,4244882
JLSP16,537905,4245554
JLSP17,537229,4245436
JOHNS01,537319,4256725
JOHNS02,538022,4256732
JROTH01,535957,4245360
JROTH02,536265,4245454
JROTH03,536353,4244964
JROTH04,536242,4244457
JROTH05,535897,4243994
KLASS01,539286,4240856
KLASS02,539093,4240567
KUNDE01,540727,4252409
KUNDE02,540932,4252254
KUNDE03,541487,4253302
KUNDE04,541228,4253406
LARS01,547219,4247603
LAZY04,542046,4251799
LAZY05,542168,4252310
LINS01,535059,4243938
LUPIN01,539688,4241511
MACKI01,530845,4251593
MCCOR01,539110,4259852
MCCOR02,539508,4259664
MCCOR05,539671,4259888
MCNEIL01,547129,4245347
MCNEIL03,547303,4244917
MESCH01,535523,4247923
MITSU01,536696,4242794
MITSU02,536321,4242254
MITSU03,537622,4242828
MITSU04,537949,4243429
MOREL01,533766,4242682
MOREL02,533838,4242167
MROTH01,535337,4243126
MROTH02,534851,4242831
MROTH03,534878,4242440
MUTTE01,546621,4245888
MUTTE02,546183,4245853
NELSO01,544914,4243687
NELSO02,545219,4243415
OTELL01,538589,4250177
PARDI01,540106,4239786
PARSO01,538483,4250998
PETER01,538073,4249851
PETSN01,543423,4251622
PETSN02,543541,4251969
PFEND01,535828,4240691
PFEND02,536553,4241305
PHILL01,540664,4248079
PHILL02,540835,4247580
PONTI02,544927,4249743
REDDE01,542228,4240344
REDDE02,541908,4240063
SAWI01,540053,4238673
SCHIEK01,535288,4242087
SCHIEK02,535759,4241657
SDC01,540525,4244490
SDC02,541018,4244753
SDC03,540931,4243866
SDC04,541407,4244187
SDC05,542163,4244119
SDC06,542270,4244915
SECRET01,545280,4247157
SECRET02,545090,4246919
SECRET03,544869,4247146
SKILE01,536904,4245680
SPAUL01,538611,4259065
SPAUL02,538096,4259079
SPIVY01,538580,4249648
STATE123,537143,4255244
SUGAR01,543158,4256456
SUGAR04,544446,4256407
SUGAR05,542774,4254843
SUGAR07,543651,4255715
SUGAR08,542176,4254983
SUGAR09,544075,4255305
SUGAR11,544501,4254868
SUGAR12,543686,4255213
SUGAR13,541187,4254925
SUGAR15,543580,4254194
SUGAR16,543852,4254795
SUGAR17,542408,4254156
SUGAR18,541889,4254689
SUGAR19,543086,4254704
SUGAR21,543524,4256280
SUGAR23,541949,4257544
SUGAR24,542415,4256935
SUGAR30,542911,4256192
SUGAR31,544072,4254197
SUGAR32,541524,4257590
SUMTV01,532963,4246104
SUMTV02,533313,4245930
SVRP01,542374,4246003
SVRP02,541746,4245403
TELL02,544468,4245854
TELL03,544877,4245342
TELL04,543696,4245441
TERRI02,535661,4256967
TERRI03,535528,4256576
VOTRU01,532176,4248258
WATKI01,539517,4248302
YAHNG01,529903,4249354
YAHNG02,529601,4249787
YAHNG03,529582,4249246
ZEN01,536945,4247188
ZEN02,536877,4246937
