tag,dbh12
812,11.2
4541,2.5
816,2.8
826,6.6
884,6.4
836,10.6
828,16.3
822,24.7
844,10.7
841,25.4
834,18.9
815,10
832,11.9
875,25.8
807,21.9
879,8.2
814,2.2
838,4.4
900,13.7
4540,3.3
809,1.5
862,12.4
887,18
889,14.2
559,21.6
560,9.9
545,15.8
534,10.6
535,13.6
354,14.3
501,19.4
640,12.7
599,16
531,11.3
680,13.6
5656,3.7
5530,2.2
674,7.5
638,2.5
602,7
642,5.5
615,5.2
622,3
626,3.7
3180,24.4
614,22.8
573,15.5
617,2.1
601,14.5
651,57.2
5657,6.7
621,10.5
3178,3.6
3179,3.8
612,7.2
524,4.7
537,12.9
679,11.4
5539,8.5
669,16
5592,6.1
693,42.9
3177,8.1
635,2.4
5660,2.6
5661,2.8
5662,4.1
5537,2.4
5634,9.2
5574,4.1
5593,3.5
5658,3.4
5536,6.5
663,9
392,21.4
549,5.9
643,14.3
595,17.8
521,8.3
526,7.2
597,3.8
1904,14
611,13.5
395,14.4
503,14.4
518,17.6
603,6.6
1901,12.9
1902,13.5
3176,7.2
630,13.1
637,10.5
554,7.5
262,9.1
568,5.1
536,15.3
691,7.4
694,7.1
652,14.1
347,9.3
662,12.8
3057,8.4
5208,6.5
106,14.7
3059,10.1
6100,11.4
3058,10.4
3060,7.6
3055,9.2
3056,16.4
3054,22.4
3066,21.6
3068,5.6
3067,13.1
5293,13.1
3061,19
3062,9.9
119,23.1
5209,13.5
3064,30.5
3065,17.5
3063,24.9
1128,19.9
3082,30.2
3081,4.3
3085,13.2
3083,5.3
3080,31
3073,2.8
837,12.2
5655,11.6
5698,2.2
5283,4.8
877,8.9
876,10.3
843,8.5
856,8.7
4772,5.4
823,8.2
811,9.8
899,24
4791,3.2
824,26
830,17.1
979,18.9
980,14.4
994,14
846,16.5
922,22.9
5290,19.5
833,10.7
983,9.3
947,12.2
997,8.2
932,10.7
984,4.4
977,16.4
835,10.9
4526,8.5
958,12.8
4529,9.7
934,9.2
952,6.2
960,5.7
333,7.4
880,8.9
4528,7.3
4508,9.5
4525,8.1
839,9.5
891,9.7
3050,17.5
3051,7.7
3052,24.4
3053,16.5
6079,14.2
2660,18.8
2662,19.4
2661,8
1252,36.3
3072,31.8
3071,13.1
3069,34.2
3031,15.8
1242,14.8
1243,12.2
2659,9.4
2656,10.4
1241,8.3
2655,23.8
2657,13.8
2169,28.8
3034,25.8
3037,35.1
3035,33.1
3036,28.3
3042,11.1
3041,9.1
3040,11.7
3039,45.3
3038,15.2
4819,2.8
4703,2
2663,12.3
3032,17
2664,23.1
2665,30.3
1418,9.4
3033,39.4
2667,14
2666,15.5
5298,2.8
5297,4.8
3049,8
3048,14.5
3047,13.7
3046,14.8
3026,15.3
3028,15.5
3025,19.2
3027,10.3
1427,8.4
2483,48.8
2484,37.9
2485,45.2
2486,47.4
2481,13
2487,45
2482,7
2488,8.6
2489,55.4
2648,19.2
4704,15.2
4705,19.7
2647,9.3
4706,15
3030,28.8
3029,32.2
2646,26.5
2645,34.2
1426,21.5
3002,23
2471,22.4
2470,18.9
2474,18.5
2480,12.7
2479,9.5
2478,25
2477,23.6
2472,3
1204,6.5
2469,9.5
6082,21.3
6081,10.8
2475,23.9
2497,20.8
3023,10.9
6093,2.1
6095,9.3
6094,9.5
2493,13.1
6092,9.3
2496,16.7
2498,8.4
3022,17.1
3019,10.7
3018,19.1
3017,12.7
3016,25.9
3015,18
3014,17.8
3013,16.3
3020,20.1
3011,13.1
3010,22
3009,12.5
2495,14.4
3007,12.3
3006,33.4
3005,11.8
3004,21.9
3003,13.8
3001,21.8
3012,13.8
3008,11.5
3021,10
2453,6.7
2455,15.1
1255,9.5
5264,3.5
2454,18.6
2468,9.4
2466,26.7
2465,12.9
2461,13.7
2456,12.5
2457,14.9
2458,24.7
2464,13.4
2459,32.7
2460,16.7
2463,12.5
2462,15
2490,19
2491,19.7
2492,26.7
3099,12.2
3088,9.4
3089,25.9
3090,21.8
3087,13.1
3103,17.9
