tag,dbh12
3102,8.8
3100,16.8
3098,13.9
3095,9.4
3091,34.9
3092,18.9
3093,9.1
6099,19.3
3094,8.1
6098,18.4
3086,21.4
3101,19.1
4752,2.8
3197,14.2
3198,22.7
6084,25.1
6087,7.9
6085,10.2
6086,12.5
6091,18.3
6088,-9999
6089,13.7
3193,2.9
6090,4.7
6083,15.3
3184,18.8
3181,9.9
3182,10.9
3195,19.5
3183,12.3
3196,9
3185,12.9
3187,18.3
3188,13.7
3189,10.1
3192,4.2
3190,3.1
3194,19.7
3191,8.6
3296,16.5
3295,13.2
3294,20.6
3293,31.9
3297,16.5
3298,16.4
3292,32.1
3761,2.7
3765,2.6
3770,3.2
3769,4.7
3768,4.9
3764,19.4
3763,28.8
2413,7.6
1467,3.6
2412,2.8
6703,35.8
4281,59.8
4279,43.9
709,22.1
4278,14.8
4280,39.1
701,31.3
4295,34.2
4765,17.4
4292,8.3
4294,19.8
4293,11.2
2222,5.2
5296,4.9
4763,6.9
4290,15.7
4289,5.1
4291,10.4
4288,23.3
4283,31.8
4282,49.1
1960,32.4
7527,3.2
4284,10.3
4286,20.9
303,32.7
4287,22.5
5295,6.5
311,43.7
4285,35.1
7590,9.7
7991,2.8
3579,44.4
2210,29.1
6926,28.3
4507,39.2
4505,21.2
6927,25
320,12
4504,27.3
3578,9.2
3577,8
704,9
6925,4.4
6924,23
4506,40.3
6059,33.8
4652,12.6
4621,32
4658,16.1
4823,12.8
4836,12.2
4835,9.5
4666,12.6
4662,7.8
4661,13.1
4654,14.1
4659,17.2
4649,15.1
4657,13.1
4625,15.3
4627,7.1
4628,27.3
4655,3.8
4653,9.8
4667,23.2
4660,20
4641,13
4632,26.6
4633,18.1
4634,22.8
6027,21.5
4637,14
4636,21.6
4638,8.7
4669,2.7
6045,16
4650,23.3
4642,17.5
6042,22
4645,31.4
4646,23.9
4647,10.6
4648,23.5
4631,17.8
4639,8.5
4663,16.1
6057,12.7
3370,6.6
2132,9.5
3371,20.4
3372,20
3373,22.1
3374,9
3375,16.3
3376,15.1
3377,22
3380,8.9
3395,18.3
3399,7.9
3398,11.2
3397,18
3383,20.4
326,27.7
3381,9.1
3394,5.9
6023,16.3
3379,7.2
6063,32.5
3378,13.9
6053,10.5
3400,11.7
3382,24
3388,23.8
3401,16
3402,13
3403,26.8
3404,13.6
3384,26.4
3396,13.1
3386,16.4
327,20.8
3389,21.3
3390,12.9
3391,6
5269,3.7
3392,20.2
3393,21.2
3385,25.2
4939,27.1
4945,35.7
6359,2.8
710,22.1
4938,16.1
4942,10.1
7546,2.7
4941,23.8
4961,12.1
4943,47.9
4944,23.3
4940,4.8
309,99
4956,17
4957,12.4
4955,11.9
308,9.7
417b,14.8
4198,9.3
4946,2.2
4951,3.3
4950,2.3
4949,3.6
4952,6.2
4948,3.1
4947,17.1
4953,6.3
711,4.1
4954,6.4
4199,11.9
4196,8
4197,24.4
4200,18.6
4931,2.5
6056,13
4930,7
4968,5.1
4976,10.3
4912,10
4925,12.5
4924,9.3
4923,11.5
4929,7.5
4928,5
4927,10.3
4926,9.3
4933,8.2
2112,5.5
4921,2.8
4973,8.8
4972,6.6
4934,2.5
4984,12
4977,11
4964,15.8
2700,4
4963,5.4
4969,8.2
4920,6.8
4922,3.8
4974,11
4965,3.5
2767,11.3
3637,18.7
2768,6.1
3639,2.3
3642,3.3
2769,3.8
3643,10
3644,5.1
2770,13.5
3616,2.7
3636,3.6
3610,13
3645,4.8
3609,5.6
3607,9.3
3606,11
3605,4.7
2762,15.3
3619,9
3618,12.3
3620,14.9
3621,2.4
1794,3.7
3617,12.5
3611,10.7
3633,3.7
2763,10.9
3627,7.5
3628,10.7
2764,15.4
3629,15.9
3630,8
3631,9
2765,7.7
3646,14
3632,11.7
3612,10.7
3634,9.5
3626,9.1
3624,7.5
1795,7.9
2760,7.8
3622,28.5
2759,4.5
3615,2.9
3614,7
3635,15.2
3613,5.3
3625,3.3
2761,10.8
3623,8.8
808,13.4
874,27.8
863,43
1950,21.5
858,19
5277,13
873,12.2
1952,21.2
1953,16.3
1954,14.5
5267,11.8
853,17.3
5276,15.5
5268,20.6
5278,10.1
893,11.5
882,14.2
556,7.4
551,8.3
894,26.1
865,8.5
849,9.2
868,3.5
854,15.8
803,3.3
864,2.1
857,3.2
850,2.8
872,4
802,11.5
5279,2.9
548,6.8
898,5
896,11.8
869,11.4
859,8.8
364,2.9
848,3.3
886,3.2
870,18
897,4.4
550,6
883,11.8
867,2.8
878,2.6
804,2
852,8
860,17.7
805,10
861,14.9
555,2.5
502,11.3
607,3.5
1956,11.1
561,5.6
510,3.5
590,2
592,2
558,2
565,5.7
580,4.5
538,12.4
1957,2.4
645,11.7
1955,15.6
581,5.1
1958,2.8
888,6.3
4784,11.4
4783,6.3
3513,3.2
3511,2.7
3508,8.2
3507,2.8
3506,4.6
3505,6.1
3497,4.1
6719,28
3526,7.8
3525,30
3524,12.7
3523,12.6
6720,4.8
3519,18.8
3520,35.4
3517,9.2
3521,3.4
3502,8.3
3484,4.8
4753,29.3
3499,4.3
2382,4.2
6360,14
3483,8.4
3485,7.1
3487,4.2
3489,3.5
3500,15.4
3490,5.2
3491,7.3
3493,19.5
3494,6.1
3501,21
3496,4.7
3498,3.8
6366,22.3
3482,2.8
930,33.4
957,9.8
945,15.1
951,18.1
904,12.5
325,29.2
916,29.7
942,10.2
986,24.1
917,10.4
498,53.8
6938,13.3
444,11.5
3588,28.4
410,15.8
3590,52.2
3589,18.2
466b,17.8
468b,23
486b,15.7
423b,46
496b,33
452b,19.7
469,23.9
928,22
948,33.5
940,34.5
819,35.5
6102,4.2
3591,4.5
3592,7.8
3593,10.9
3594,6.8
3595,8.1
3598,7.4
3597,7.8
3596,9.2
1698,8.6
6051,15.1
2799,1.7
1350,2.4
1699,4.4
2800,9
4717,9.9
2702,15.6
472,43.3
6072,13.5
6073,20.1
6071,4.5
6070,10.6
6075,12
6074,10.2
6347,4
3652,8
3654,7.9
3655,7.5
3656,3
3657,5.2
3658,9.7
3659,9.1
2771,4.3
3650,4.5
6346,2.8
6348,5.8
3649,6
3651,7.9
3660,10.1
408c,25.6
4402,46.5
2436,28.4
4479,11.9
4388,39.4
328,15.8
4405,26.5
4480,28.2
4407,19.8
2899,23.7
2441,24.6
413b,17.2
2427,19.3
414b,46.2
412d,2.4
3714,14.9
3720,1.7
3717,2.1
3716,15
3715,15.1
3703,3.4
3713,13.1
3712,12.2
3711,16.8
3710,11
3722,2
3704,11.2
3732,3.8
3706,11.1
3724,4.5
3725,6.1
3726,6.3
3727,11.7
3728,2.7
3730,3
6309,11.7
3733,8.3
3736,6.2
3737,2.8
3738,7.1
3734,6.8
2797,3.8
3729,5.5
2784,2.8
2773,18.5
2775,6.5
2778,2.9
2779,3.4
2780,11.4
2781,10.3
2783,2.8
2788,10.3
2789,2.7
2790,2.7
2793,13.1
2794,11
2795,8.6
2598,4.1
3699,3.1
2777,2.6
4781,2.7
2796,4.1
3742,6.6
3741,10.2
3740,6.5
2798,10.1
3701,8.1
6708,2.9
4782,3
172,27.4
184,16.6
202,25.5
213,10.8
211,17.9
174,10.9
176,25.3
169,27.3
4484,39.7
177,19.7
209,35.6
4485,40.1
175,21.5
4409,33.7
173,40.8
178,32.4
182,17
4483,36.5
4487,26.4
4411,30.7
4486,29.8
4834,16.4
4833,3.3
168,18.9
136,10.3
141,16.1
121,20.6
146,47
134,19.4
148,20.6
145,7.6
143,12.5
144,11.6
140,22.1
138,17.1
139,11.2
137,7.2
132,17.8
4022,8.7
159,15.3
4023,18.5
150,18.5
135,27.3
158,17.6
133,18.7
155,21.7
167,14.9
4021,16.3
151,19.5
166,-9999
161,16.7
156,15.6
149,21.9
2891,10.5
157,20.1
4024,2.1
164,16.5
201,24
2890,24.3
160,24.8
2437,16
2807,20.3
2428,24.1
187,20.2
2804,16.3
2442,18.8
154,29.1
219,19.2
218,19
2432,24.3
5884,4.3
2434,27.5
2439,14.4
2897,29
2894,14.1
2889,18.5
207,12.7
2802,25.1
2440,24
180,28.2
205,29.9
203,25.2
208,12.4
217,5.9
204,95.6
185,16.3
2898,20.7
2806,20.2
2445,19.3
2435,27
5300,11
214,13.3
210,13.5
5299,27.5
179,3.1
4474,6.6
4476,2.5
1756,2.2
2324,2.5
3243,12.3
3240,9.9
3239,13.2
3238,3.1
3237,14.1
3236,13.9
3235,17
3234,16.2
3795,10
3786,2
3785,8.4
3787,11.6
3788,11.6
3790,7.2
3791,11.1
3792,7.7
3793,8.6
3777,10.5
3782,2.2
3796,17.2
3779,2.8
7526,6.6
3778,12.8
3794,16.3
3775,8.3
3797,5.8
3780,10.7
3781,8.8
3800,10
3799,2.7
3776,2.8
3585,19.3
4511,6.2
6936,13.1
6935,42.1
3584,21.1
4510,18.4
3586,25.5
3587,23.7
4509,17.8
3583,23.7
6934,30.5
6933,21
1428,22
6932,20.4
6937,30.7
4512,4.8
4756,7.2
461,5.2
496,19.5
455,2.9
423,7.3
470,3.6
480,5.9
4594,19.5
426,9
446,8.5
464,2.5
428,13.4
481,17.3
472b,4.1
4563,9.8
421b,18.8
954,5
432b,16.6
104,15
4596,9.4
447,8.3
457b,2.1
475,13.3
112,18.8
422,7.1
959,13.3
964,13
493,13.6
435b,15.5
956,20.3
4533,14.1
471,4.8
495,2.5
6223,20.3
4877,3.6
451b,10
486,10.3
4537,10.2
453,14.2
439,8
4864,2.9
4854,2.5
491,8.7
450,13.6
4535,7.1
489b,7.2
436b,43.6
4532,20.2
477,7.3
490,11.3
4534,2.4
473b,2.1
4536,4.8
452,9.1
438,2.5
3077,11
462,11
497,7.3
4170,10.8
4171,6.8
456,8.1
478,7.5
488,11.6
479,3.2
458,13.2
484,4.9
434b,4.4
433b,12
487b,9.8
120,4
1986,2.8
910,7.4
927,8.8
123,13.2
500,10
494,4.2
923,16.6
105,9.3
116,2.8
966,3.6
122,9.7
427,4.3
914,12.4
933,6.8
972,2.5
490b,2.5
4538,12.1
938,14.5
465b,8.1
103,9.8
4169,4.4
981,8.7
125,8
987,12.3
955,2.7
498b,5.1
909,7.9
911,9.2
117,11.2
118,3.2
971,6.9
480b,13
127,3.1
444b,6.9
478b,6
454b,4.1
1000,2.7
459,3.1
443,4.5
473,3
967,5.3
901,15
462b,12.2
937,2.7
445,13.3
925,16.3
442,2.8
908,4.1
903,8.1
440,2.4
4168,3.7
961,3.5
4710,4.8
474b,3.2
418,3.5
489,3
113,5.7
484b,3.2
455b,3.4
425b,2.1
487,6.5
4876,3.3
4880,3.1
479b,8.8
111,4.6
471b,4.9
429b,2.3
6313,16.5
4674,17
4673,19.8
4672,23
126,12.3
4675,4.4
4676,8.6
4677,13.5
108,25.1
2145,7.2
4681,13.5
4679,10.5
4678,23.1
6314,25
4680,12.5
3450,4.9
3434,13.1
4858,3.2
3435,6.1
3452,2.5
3437,14.3
3451,12.1
3439,5.2
3448,14
3447,3.2
3433,6.7
3443,13.3
3441,16.1
3438,12.8
3407,2.9
3453,8.6
3417,3.9
3416,6.3
3415,4.1
3413,6.4
3419,9.3
3408,15.4
3431,10.5
3406,9.3
3442,13.3
3418,6.7
3424,4.8
3425,3.1
3426,7.5
3409,12.3
3473,6.8
6312,6.9
6327,7.2
3468,2.8
3470,3.6
3478,2.1
3477,8
3476,5.8
3474,4.6
3472,4.4
3471,5.2
3462,3.8
3461,2.1
3460,3.8
3458,3.2
3454,3.8
3475,16.4
3457,2.7
3440,12.7
4857,3.5
6011,14.8
6017,7.7
6015,7.6
6014,-9999
6012,6.1
6016,2
3807,13.2
4339,6.6
4338,9.1
4340,11.7
4341,14.1
751,4.1
742,4.9
5678,3.4
4194,2
2099,2
4314,3.6
4324,34.8
4323,14.8
1988,12.6
4320,24.5
4318,3.6
4317,26.1
4316,10.6
4315,16.3
4307,13.1
4302,7.7
5676,15.3
4304,4.1
2100,7.8
4313,7.8
4319,8.7
4301,9.5
4306,24.6
4172,11.8
4400,5.9
4308,3
4309,28
4793,4.3
4794,3.4
4312,43.7
4305,45.9
4330,12.1
4332,31
4333,30.8
4329,14.4
4325,20.8
4326,18.2
4328,38.9
1987,8.5
4327,28.8
4229,31
4231,30
4211,5.3
4362,11.2
4227,43.5
4366,38.9
4230,42.1
4361,20.1
4360,49.1
4359,25.6
4228,-9999
4356,58.2
1856,15.1
5663,3.1
4232,47.8
4210,42.3
4233,101
4363,5.2
4364,62.7
4209,65
4234,42
4357,14.7
4212,4
5664,5.1
5829,-9999
403c,12.1
2448,20.7
2451,28.4
2446,34
2450,33.4
4349,9.6
6323,3.6
5553,39
5552,42
4355,25.6
4348,22.8
4351,17.5
4225,37.7
4352,41.2
4353,35.3
4354,34.7
4216,17.5
4218,5.2
4207,4.3
1855,3.8
4213,8.8
4215,14.5
4217,8.7
4205,4.8
4222,51.5
4214,21
4206,33.9
6325,10.8
4221,41.8
4220,26.9
4219,2.3
4208,35.1
756,19.5
2597,4.2
4202,25.5
2595,9.3
6109,43.6
4203,10.4
4204,28.2
4201,30.8
757,25.6
4193,13.7
4192,26.2
2594,29.8
758,25.7
4191,26.9
4190,32.2
4189,23.2
4187,13.1
4188,37
406c,21.4
4185,13.7
403b,18.5
4186,20.9
4183,13
4184,25.5
408,13.5
4776,4.2
4336,31.2
4337,23.8
4177,12.7
4175,19.5
4335,48.5
4181,14.2
402c,21.7
321,28.5
4176,5.1
4182,16.8
4178,20
4179,20.1
4180,7.7
4174,14.5
2612,10.4
2613,50
4885,37.7
2611,27
2610,13.4
4869,3.6
4870,4.5
2609,18.6
2608,31.3
2607,5
2606,20.1
115,7.5
2605,13.1
2614,21.7
6003,49.7
2641,25.2
4871,5.5
4379,5.2
273,22.1
188,9.8
4380,3.4
231,9.5
4378,19.3
277,28.1
228,34.4
224,32.6
1637,12
280,19.2
258,24.3
220,29.6
272,34.4
192,33.7
261,34.7
1913,29
4257,21.9
4377,24.2
193,13.7
4376,15
198,36.9
181,13.9
196,35.6
259,23.3
243,42.3
152,26.5
4256,23.3
265,22.4
4375,48.6
235,30.3
170,6.4
299,45.7
254,20.7
276,49.5
4802,4.8
4807,7.1
268,10.9
250,16
142,39.9
171,39.7
165,60.3
216,25.4
6712,4.3
4801,5.7
4482,34.6
4413,26.3
4412,6.5
279,12.3
286,23
249,14.8
291,27.2
288,9
4806,6.9
292,28.2
4896,6
257,31
290,42.9
287,37.7
295,34.8
4805,10.8
285,36
293,29.9
4481,10.6
4803,7
197,19.4
163,37
230,9.8
4382,14.1
4259,11.6
264,3.8
244,5.9
200,6.1
266,14.4
195,9.5
229,37.8
252,12.9
296,10.9
251,19.3
267,8.1
183,7
269,10.1
260,9.5
282,7.4
297,-9999
242,12.3
284,13.7
281,5.6
153,39.4
245,18.1
274,3.4
4496,23
226,11.5
4490,31.1
186,19.8
4415,29.6
298,18.7
4497,27.3
4498,38.6
4499,40.3
4500,19.7
4404,20.6
4406,14.7
4410,20.6
4488,21.9
4489,30
4491,28
234,16.5
416b,26.8
415,27.9
4387,22.2
1803,4.7
4296,7.4
4392,12.5
4391,22.9
4297,6.7
4381,13.2
4298,2.7
4389,27
4299,9.8
4390,24
4383,25.7
1804,6.7
3528,6.2
3529,3.9
3530,11.3
3531,12.4
3532,8
4685,2.6
4683,4
6114,2.6
4682,18.6
4684,2.6
2050,12.7
6923,11.5
6922,7.4
3576,8.3
3746,3.1
3755,10.8
3754,2.7
3753,8.8
3759,7.1
3760,10.2
1417a,2.3
3752,13.2
3751,3.5
3750,5.3
3749,2.8
3756,10.3
3747,7.1
3757,4.4
3745,2.7
3748,2.2
3550,2.8
3551,4.9
3552,9.7
3555,3.8
7525,4
7594,5.4
6919,2
6917,9.6
6916,3.3
6915,3.8
3548,5.4
6120,6.4
7528,4.5
7533,8.9
3539,2.9
4715,5.2
3540,5.7
3542,4.7
3545,9.8
6914,9.5
3547,8.1
7592,5.4
3537,3.7
3536,2.7
7545,9
6061,2.9
3535,9.3
3534,8.2
3533,8.3
6918,9.1
7591,7.5
3546,2.7
3563,5.5
4691,3.9
4690,4.3
4689,7
6913,7.2
4687,9.5
6920,2.1
3558,9
3559,5.4
3560,2.5
4692,9.2
3562,5.1
4688,5.8
721,4.7
3574,2.2
3571,6.3
3564,6.8
3565,9.9
3566,5.7
3568,7.7
3538,8.6
3570,8.5
3569,2.6
4716,4
6904,7.6
6912,13
6911,6.8
6910,4.5
6909,9.5
6062,3
6908,6.7
6907,3.1
4686,17.7
6906,5.6
4694,4
6903,6.9
4698,2.6
4695,4.5
4696,6.5
4697,7
4699,4.8
4700,6
6901,12.4
6902,5.3
4503,3.1
4501,6
3575,13.7
4502,5.9
1697,6.3
1694,9
6320,9.7
1693,13.2
1692,14.4
1691,14.1
1685,7.8
1695,-9999
1696,6.8
1684,7.2
1367,5.9
6319,17.8
6318,-9999
1682,7
1686,15.6
4760,5.4
4385,92.5
4300,35.9
1989,3
410b,13.3
324,52.3
4384,40.8
4477,41.5
4478,7.5
4401,22.8
4751,5.4
4419,12.6
4882,4.8
4157,27.3
525,34.4
352,22.7
4881,5.3
641,6.7
4158,33.1
317,21.9
316,43.5
598,39.8
4905,15.1
514,3.9
529,14.4
4897,15.1
546,29.2
541,6.3
700,34.2
3680,4.1
3681,4.3
3686,3
3684,3.1
6718,2.8
4775,2.8
3694,4.9
3695,3.4
3696,4.1
3698,4.6
6717,3.2
6716,3.3
4790,3.4
6721,3.4
3689,2
4252,16.5
2721,6.1
4253,10.2
6341,-9999
2722,20.8
2726,12.2
2725,11.5
2724,22.1
2723,18.8
2717,13.6
4255,22.4
2714,32.2
4245,13.5
4254,10.9
4246,16
2715,3.3
4251,17.8
2719,6.6
4248,7.6
2720,17.3
2727,14
4249,31
4250,22.4
4247,14
4917,17.8
6077,10.3
4910,30.1
5889,30.2
790,27.3
4903,16.8
4904,61.7
4906,72
4907,20.1
4919,30.8
4909,6.4
4911,20
4913,25.7
4914,9.3
4915,105.3
4898,6.7
4916,19.5
4918,32.1
797,14.9
3604,37.5
4524,95
4523,50.9
4522,20.3
2696,9.9
2695,23.9
2692,26.7
2693,22.1
2691,14.6
2690,20.2
300,17.2
2697,89.7
6078,9.3
2694,31
2698,67.8
4902,9.2
5888,3
5622,4.9
5594,6.7
786,82.7
5595,3.4
4063,36.9
4062,33.8
4061,5
4060,28
4059,17.9
2668,40.9
4058,33.9
313,7.8
6064,32.8
4813,7.1
4057,38.7
2672,110.4
314,148.1
2669b,62.1
2670,22.3
5572,6.8
312,102.9
2745,23.4
2743,32.1
2742,9.3
2740,28.2
4543,3.5
6076,35.9
2746,12.4
2744,6.3
2747,6.1
5575,29.2
1412,22.5
2751,17.7
2756,15.7
2748,4.7
2755,11.3
2754,27.3
2753,6.8
2752,39.3
2750,8.5
2757,29.1
2735,28.5
2736,35.1
2737,313
2738,24.8
2739,20
5280,33.7
5265,2.7
2731,43.9
2729,39.1
1667,17.1
2730,30.1
2733,25.9
2728,12.2
2732,11.8
3261,12.5
3252,5.1
3246,8.1
3247,6.7
3262,6.5
6336,3
6702,11.2
3248,11.2
3249,6.3
3251,6.2
3259,6.3
3253,4.6
3254,6.8
3255,5.9
3256,5.5
304,5.5
3257,8.9
3258,11.2
3250,5.7
3272,7.1
3263,5.8
3260,7.1
3265,7.3
3266,6.9
3267,8.3
3268,7.5
3269,9.1
3271,5.1
3273,7.7
3274,7
3275,2.7
3276,9.9
3277,7
3278,11.7
3279,3.3
3264,7
3270,10.4
3303,8.4
6332,11.7
3308,10.8
6331,11
3302,4.2
3305,12.1
3306,13.9
3318,10.4
4872,2.5
3348,8.5
3346,2.1
3345,6.8
3341,7.6
3332,3.1
3331,7.5
3326,5.2
3301,5.1
3319,8.5
3317,8.6
3311,2.5
310,6.4
3321,15.4
302,18.2
3349,9.6
4764,3.7
3350,6.3
4761,3.6
3352,11
3351,10
3353,5.2
3354,6.2
3355,6.8
3362,6.8
3357,2.8
3358,6.9
3360,8.2
3361,2.7
3356,3.4
4403,11.5
4414,17.7
4417,16.2
4416,11
413,10.8
6928,24.7
6930,3.3
415b,37
3581,35
3582,44
6931,14.6
403,7.1
424b,38.5
435,15.5
417,13.1
448,28.1
433,22
447b,5
409b,8.5
440b,20.9
419,23.6
407,8.2
402,12.5
4418,4.4
1937,5.3
4492,2.8
4962,41.4
409,10.4
4936,14.4
4971,23.2
4970,42.4
4935,2.2
4937,8.4
4517,32
800,9.8
4519,91.5
3599,7.3
4515,27.1
3602,14
4516,53.4
3600,2.2
4518,51
3601,7
4514,21
3121,7.4
3120,20.3
3118,14.7
3126,15.5
3119,9.8
3123,9.5
3125,5.9
3127,7.3
3116,9.3
6315,7.8
3124,6.3
3114,5.2
3112,7.9
3110,18.7
3109,12
3108,10.9
3107,12.9
3128,6.7
6339,7.1
3113,3.9
6316,16
6317,8.1
6338,17.5
3166,6
3155,4.8
3156,4.2
3157,3.5
3158,4
3129,8.7
3160,9.5
3111,16.7
3162,11.6
3163,6.8
3164,6.5
3153,9.8
3165,4.4
3159,5.2
3167,2.8
3168,4
2590,2.6
3169,12.5
3170,13.4
3171,12.7
3172,16.7
3173,10.7
3174,11.2
3175,6.5
4755,3.2
3131,4.1
3146,7.9
3143,4.7
3141,6.8
3161,7.6
3140,15.6
3139,15.9
3138,19.3
3137,13.2
3136,3.3
3135,8.7
3134,13.9
3133,10.4
3148,3.7
3132,5.7
3130,7.6
3149,4
3150,5.2
3152,4.5
587,74.2
528,41.5
4754,27.1
4758,7.6
677,31.5
539,14.9
567,5.9
189,38.9
623,33.9
3210,22.4
391,16.4
1662,8.5
3218,14.5
6342,16.5
6344,23.5
6340,20.1
3225,21.1
3224,14.3
3223,18.5
3222,8.8
3214,22.5
3219,5.8
1663,18.3
3217,7
3216,13.2
3215,12.2
3213,15.4
3212,26.9
3211,9.8
3220,7.8
2674,37.6
4066,18.1
4064,11.3
2681,47.5
2680,27.2
2679,45.7
2677,23.5
2676,36.3
4065,23.9
2675,32.5
2671,16.4
2678,48
2673,47.5
4344,31.2
1769,33.8
4343,46.1
4345,37.8
4346,4.3
4347,2
4195,26
4342,37.9
4276,21.2
4268,6.4
4260,73.3
4271,35.5
1263,9.5
6321,18.4
4270,52.3
4394,2.5
4265,4.9
4267,41.8
1264,16.8
4261,32.4
4399,16.3
4398,1.5
4393,3.2
4263,54.7
4269,24.4
4264,2.9
4266,13.9
4396,12.6
4395,25.8
4273,67.8
4274,23.7
4272,78
4396,12.6
4262,49
4792,2.4
4370,5.7
4369,5
4374,4.5
4235,10.5
4373,5.9
4372,6.7
4368,5
1844,5.8
4371,4.6
1842,5.8
1832,3
4702,3.6
5538,4
5596,2.8
1861,7.2
4277,23.2
436,8.7
2682,2.7
474,9.2
483b,7.8
437,11.5
431,9.5
2683,11.9
924,7.2
2685,5.2
463,7.7
434,12
450b,5.4
2688,7.3
432,2.2
492,6.4
443b,5.5
481b,21.9
2684,7.7
421,2.8
2686,3
2687,2.7
401,6.2
446b,6.8
441,16.4
416,12.5
454,8.4
414,4.3
2689,14.6
429,14.8
451,16.8
406b,14.8
919,15.1
439b,7.5
494b,15.6
408b,5.1
427b,8.4
465,5
449,3.8
459b,5
425,7.8
467,5
3287,32
3280,27.8
3281,24.9
3282,5.9
3283,7.1
3284,11.1
3286,23.3
3288,43.9
3289,17
7548,7.6
3290,61.9
3291,8.4
3285,49.7
4562,9.2
107,12.8
931,30.1
4908,17.9
915,19
315,37.8
114,15.7
102,7
6222,6.9
110,11.5
944,7
3078,16.6
963,31
606,28.8
616,22.5
6940,6.4
6939,6.6
4408,7.5
331,7.6
3804,24.9
3802,4.2
3801,10.5
655,5.3
376,7
507,2.9
523,6.4
552,5.1
509,4.7
698,7.2
512,6.2
618,8.7
591,7.6
270,7.4
676,3.3
609,7.3
4104,15.3
