"plotid","H.2005","D.2005","inv.D.2005","J.2005","H.2014","D.2014","inv.D.2014","J.2014","os_rich05","os_rich14","us_rich05","us_rich11","us.H.2005","us.D.2005","us.inv.D.2005","us.J.2005","us.E.2005","us.E.inv.2005","us.H.2011","us.D.2011","us.inv.D.2011","us.J.2011","us.E.2011","us.E.inv.2011"
"ann01",0,0,1,0,0.206192050633232,0.0997229916897509,1.11076923076923,0.187684092704995,1,2,3,3,0.977320208956467,0.580498866213152,2.38378378378378,0.70498750941103,0.193499622071051,0.794594594594595,1.00830025143036,0.605263157894737,2.53333333333333,0.727334886232836,0.201754385964912,0.844444444444445
"ann02",0.75893677276206,0.438775510204082,1.78181818181818,0.547457159206049,0.639031859650177,0.34,1.51515151515151,0.460964047443681,3,3,5,5,1.03833063589706,0.51038062283737,2.04240282685512,0.579503361767863,0.102076124567474,0.408480565371025,1.09153260041761,0.616549486208761,2.60789844851904,0.609195943520186,0.123309897241752,0.521579689703808
"ann03",0.450561208866305,0.277777777777778,1.38461538461538,0.410118486306518,0.340499778471299,0.191326530612245,1.23659305993691,0.309936255022324,2,2,4,4,1.06166532259361,0.59297052154195,2.45682451253482,0.659649753737909,0.148242630385488,0.614206128133705,1.17006917981841,0.647569444444444,2.83743842364532,0.72700485727269,0.161892361111111,0.70935960591133
"ann04",1.2228533796176,0.672839506172839,3.05660377358491,0.759801524600701,0.983961446001026,0.591715976331361,2.44927536231884,0.709778149285807,4,3,4,4,0.884193649709765,0.544477291050793,2.1952802359882,0.549380403480441,0.136119322762698,0.54882005899705,0.991280107988766,0.5709375,2.3306627822287,0.615916961027445,0.142734375,0.582665695557174
"ann05",1.24028333702417,0.682825484764543,3.1528384279476,0.770631366045292,1.35249161815754,0.704986149584488,3.38967136150235,0.754839944415215,4,5,5,6,1.05999517688058,0.573827160493827,2.34646581691773,0.591594572310123,0.114765432098765,0.469293163383546,1.41831256511309,0.734796168411673,3.77068458630827,0.728868476173804,0.122466028068612,0.628447431051379
"ann06",0.918427784993098,0.569444444444444,2.32258064516129,0.662505605412089,1.23514465153267,0.684444444444444,3.16901408450704,0.767438521231704,3,4,1,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA
"ann07",1.14280741967539,0.571428571428571,2.33333333333333,0.637812965022448,0.777789931555932,0.438271604938272,1.78021978021978,0.561056838554554,5,3,4,7,1.14991713779093,0.629757785467128,2.70093457943925,0.714483689558304,0.157439446366782,0.675233644859813,1.50774549908408,0.721694667640614,3.59317585301837,0.725072318150417,0.103099238234373,0.513310836145482
"ann08",0.89794572485678,0.54,2.17391304347826,0.647730922119161,0.689009238476659,0.495867768595041,1.98360655737705,0.62716323636974,3,2,2,4,0.693147180559945,0.5,2,0.630929753571457,0.25,1,1.38629436111989,0.75,4,0.861353116146786,0.1875,1
"ann09",1.32088834314932,0.71875,3.55555555555556,0.820714072251238,1.08219553003877,0.65625,2.90909090909091,0.780639062229566,4,3,7,4,1.2695068397621,0.590277777777778,2.4406779661017,0.610503740699803,0.0843253968253968,0.348668280871671,1.02328323986826,0.587105624142661,2.421926910299,0.63580162487949,0.146776406035665,0.605481727574751
"ann10",1.34212572274875,0.6953125,3.28205128205128,0.749054628033849,0.867563228481461,0.5,2,0.625814583693911,5,3,11,11,2.04734386984326,0.847589370120094,6.56122214564668,0.823911783574616,0.0770535791018267,0.596474740513335,2.02052940146525,0.84593572778828,6.49079754601227,0.813120847673545,0.0769032479807527,0.590072504182934
"ann11",0.529643502540352,0.2784,1.38580931263858,0.382057027277014,0.576382066624893,0.309917355371901,1.44910179640719,0.415771774588533,3,3,8,6,1.78036530280675,0.811773954057123,5.31276102088167,0.810279168170036,0.10147174425714,0.664095127610209,1.65921787027592,0.797059478725774,4.92755214050494,0.852669313165064,0.132843246454296,0.821258690084157
"ann12",0.673011667009257,0.48,1.92307692307692,0.612601619289344,0.685314207276458,0.4921875,1.96923076923077,0.623799874027707,2,2,4,6,1.05563343255065,0.554016620498615,2.24223602484472,0.655901929732793,0.138504155124654,0.56055900621118,1.40222582798946,0.697757208971164,3.30859835100118,0.720601528631837,0.116292868161861,0.551433058500196
"ann13",1.02965301406457,0.62,2.63157894736842,0.742737648613667,0.900256051268537,0.53125,2.13333333333333,0.649397470347699,3,3,3,4,1.01140426470735,0.611111111111111,2.57142857142857,0.729573958513623,0.203703703703704,0.857142857142857,0.772102120709044,0.398530762167126,1.66259541984733,0.479734020644091,0.0996326905417814,0.415648854961832
"ann14",1.27703425946614,0.693877551020408,3.26666666666667,0.793465998035776,1.49417513828931,0.75,4,0.833915022607942,4,5,5,6,1.46813993901621,0.758494031221304,4.14068441064639,0.819384501229246,0.151698806244261,0.828136882129278,1.18419411357103,0.589572023734377,2.43648108274377,0.608555392008166,0.0982620039557295,0.406080180457295
"ann15",1.02633063329449,0.623456790123457,2.65573770491803,0.740341057483192,1.31683011021504,0.712689020381328,3.48054919908467,0.818192550356591,3,4,7,7,1.56455968146966,0.759515570934256,4.15827338129496,0.752394164543696,0.108502224419179,0.594039054470709,1.78619525783198,0.815814645552131,5.42931332948644,0.858978346844525,0.11654494936459,0.775616189926634
"ann17",1.2366848691405,0.680555555555556,3.1304347826087,0.768395512238277,1.19354960409813,0.66,2.94117647058823,0.741594065155964,4,4,3,7,0.699124374306414,0.432432432432432,1.76190476190476,0.504311633888231,0.144144144144144,0.587301587301587,1.32237812838121,0.682771468060814,3.15230157226747,0.635929455998532,0.0975387811515448,0.450328796038211
"ann18",0.721463686692511,0.402777777777778,1.67441860465116,0.520426041486378,0.450561208866305,0.277777777777778,1.38461538461538,0.410118486306518,3,2,6,6,1.51498744426835,0.75497256515775,4.08117564730581,0.778549536320489,0.125828760859625,0.680195941217635,1.47136294012307,0.744927159209157,3.92044875063743,0.756130975953527,0.12415452653486,0.653408125106238
"ann19",0.562335144618808,0.375,1.6,0.511859507142915,1.26500137527307,0.694444444444444,3.27272727272727,0.785989546723112,2,4,6,5,1.33851645049194,0.683553148746615,3.16008832459288,0.68786138514245,0.113925524791103,0.526681387432146,1.05823594112093,0.582097954588103,2.39290525370454,0.590612724138054,0.116419590917621,0.478581050740907
"ann20",1.3647193751408,0.705882352941176,3.4,0.76166438552646,1.11636707528934,0.602040816326531,2.51282051282051,0.693637863669405,5,4,5,4,1.13586354965269,0.639500297441999,2.77392739273927,0.633937517373388,0.1279000594884,0.554785478547855,1.00985330081043,0.592391304347826,2.45333333333333,0.627457134573857,0.148097826086957,0.613333333333333
"ann21",1.04375703633141,0.631111111111111,2.71084337349398,0.752911550104142,0.918427784993098,0.569444444444444,2.32258064516129,0.662505605412089,3,3,4,6,0.95694171933132,0.56707842573973,2.30988719309887,0.594581320558088,0.141769606434932,0.577471798274718,1.15966547293845,0.612122349408895,2.57813255926464,0.5959501642465,0.102020391568149,0.429688759877439
"ann22",0.500402423538188,0.32,1.47058823529412,0.455485915003595,0,0,1,0,2,1,11,8,1.55837825827434,0.733450166770309,3.75164369034995,0.627137545954612,0.0666772878882099,0.341058517304541,1.22946748041923,0.621905566960512,2.64484190354519,0.559554764269824,0.077738195870064,0.330605237943149
"ann23",0.376770161256437,0.21875,1.28,0.342950980198128,0.848685557726417,0.493827160493827,1.97560975609756,0.612197222702993,2,3,6,4,1.25441044386873,0.628202272220985,2.68963451168364,0.644639447755445,0.104700378703497,0.44827241861394,0.439561090571321,0.196051423324151,1.24386065105654,0.273114661445083,0.0490128558310377,0.310965162764135
"ann24",0.777462131910929,0.4609375,1.85507246376812,0.560820381093429,0.752974682765889,0.442906574394464,1.79503105590062,0.543156420370644,3,3,6,7,1.51258347816122,0.739447098441538,3.83799218515179,0.777314142122921,0.12324118307359,0.639665364191965,1.45153544138881,0.698397005861168,3.3156169515336,0.698040994322069,0.0997710008373097,0.4736595645048
"ann25",1.27002786111697,0.693333333333333,3.26086956521739,0.789112677975996,1.30952583530407,0.711111111111111,3.46153846153846,0.813654149182775,4,4,7,8,1.28400751397618,0.5984,2.49003984063745,0.617477090959203,0.0854857142857143,0.355719977233921,1.59219763214751,0.739440809042237,3.837899543379,0.724640370661514,0.0924301011302796,0.479737442922374
"ann27",0.636514168294813,0.444444444444444,1.8,0.579380164285695,0.693147180559945,0.5,2,0.630929753571457,2,2,9,9,1.52592429544205,0.722222222222222,3.6,0.662700501312588,0.0802469135802469,0.4,1.72914899952106,0.777120315581854,4.48672566371681,0.750959868880524,0.0863467017313171,0.498525073746313
"ann29",1.19427268434832,0.642659279778393,2.7984496124031,0.742043340175897,1.20068456234124,0.643598615916955,2.80582524271845,0.746027263969033,4,4,8,9,1.47945274636193,0.726055919095776,3.65038002171553,0.673327961839717,0.090756989886972,0.456297502714441,1.48843806601896,0.698538238824942,3.31717029749356,0.646420438726782,0.077615359869438,0.368574477499284
"ann30",1.34500168082137,0.681640625,3.14110429447853,0.691194134258629,1.37346859410268,0.65,2.85714285714286,0.70582323380628,6,6,5,7,1.20943268140584,0.641975308641975,2.79310344827586,0.674997231590967,0.128395061728395,0.558620689655172,1.48504763351326,0.726456484032242,3.65572547556882,0.714156952117825,0.103779497718892,0.522246496509831
"ann31",1.2284916775246,0.616780045351474,2.6094674556213,0.685634259856246,1.40139264660812,0.7109375,3.45945945945946,0.78213212804277,5,5,5,7,1.43917411542133,0.736842105263158,3.8,0.803218367274134,0.147368421052632,0.76,1.65931050278781,0.772495888479912,4.39552495697074,0.797959677888982,0.11035655549713,0.627932136710106
"ann32",1.32316702910392,0.69140625,3.24050632911392,0.738473579645139,1.12421623623933,0.6272,2.6824034334764,0.698514821574618,5,4,8,6,1.62866295972321,0.76118609841641,4.18736092567868,0.741236456447115,0.0951482623020512,0.523420115709835,1.63684208353504,0.791740452404023,4.80170062570191,0.841170433449707,0.131956742067337,0.800283437616985
"ann33",0.953885345872098,0.550567874526771,2.22503008423586,0.592682288954813,0.871654672225038,0.474609375,1.90334572490706,0.541589498725524,4,4,9,8,1.9619707075817,0.834984806447351,6.06004803843074,0.852073051958549,0.0927760896052612,0.673338670936749,1.81334603060682,0.804899821463995,5.12557193695984,0.825289344253198,0.100612477682999,0.64069649211998
"ann34",0.688138813713588,0.495,1.98019801980198,0.626370941606566,0.689009238476659,0.495867768595041,1.98360655737705,0.62716323636974,2,2,4,4,1.20244784555777,0.684703433922997,3.17161716171617,0.747122853430986,0.171175858480749,0.792904290429043,1.01341009622167,0.580486303477993,2.38371239911959,0.629667095817942,0.145121575869498,0.595928099779897
"ann35",0.909707710327499,0.53185595567867,2.13609467455621,0.656215401173968,1.14991713779093,0.629757785467128,2.70093457943925,0.714483689558304,3,4,4,5,1.12194166085044,0.604444444444444,2.52808988764045,0.697101548424209,0.151111111111111,0.632022471910112,1.16739325224582,0.663490304709141,2.9716825814949,0.651534579442613,0.132698060941828,0.594336516298979
"ann36",1.36490833931331,0.710562414266118,3.45497630331754,0.761769848439174,0.990365041474314,0.559556786703601,2.27044025157233,0.61534839823457,5,4,9,11,1.77514065432319,0.803195238468165,5.08117787504974,0.770933790774691,0.0892439153853517,0.564575319449971,1.83635873621806,0.810901249256395,5.28824223358238,0.739005119719378,0.073718295386945,0.480749293962035
"ann37",0.937718272244926,0.524930747922438,2.10495626822157,0.582637121320653,0.812465110381108,0.477720964207451,1.91468531468531,0.586069692821064,4,3,6,4,1.46789275548469,0.702169625246548,3.35761589403974,0.754347653820146,0.117028270874425,0.559602649006623,1.04117526231375,0.609274563820018,2.5593419506463,0.646918563474799,0.152318640955005,0.639835487661575
"ann38",1.31809526141248,0.69,3.2258064516129,0.73564297220115,1.22831035216088,0.685185185185185,3.17647058823529,0.763192132278776,5,4,7,8,1.33200967834084,0.627450980392157,2.68421052631579,0.64056125245281,0.0896358543417367,0.383458646616541,1.68650239188623,0.774234693877551,4.42937853107345,0.767560316447418,0.0967793367346939,0.553672316384181
"apgar01",1.48779312746672,0.726879394267171,3.66138613861386,0.764574421994255,1.67419845284992,0.794238683127572,4.86,0.860367809717576,6,6,11,8,2.1708791916877,0.872929145361578,7.86962520119568,0.873626054271658,0.0793571950328707,0.715420472835971,1.77619913985318,0.811000752985048,5.29102637070764,0.808383065697605,0.101375094123131,0.661378296338456
"arbit01",1.0775733728922,0.577777777777778,2.36842105263158,0.669533981129154,0.953271014705891,0.506666666666667,2.02702702702703,0.59230058353986,4,4,4,3,0.695265374112058,0.34375,1.52380952380952,0.431992665725479,0.0859375,0.380952380952381,0.791103189665042,0.523090992226795,2.09683604985618,0.570660324280598,0.174363664075598,0.698945349952061
"arbit02",1.52470739303014,0.72189349112426,3.59574468085106,0.783544601877095,1.08889997534522,0.58,2.38095238095238,0.676571594923088,6,4,7,8,1.40079542099116,0.653846153846154,2.88888888888889,0.67364020238797,0.0934065934065934,0.412698412698413,1.71844720264604,0.755295836376917,4.0865671641791,0.782099026367792,0.0944119795471147,0.510820895522388
"arbit03",1.56544510706333,0.753086419753086,4.05,0.804479645590684,1.21124657296959,0.65702479338843,2.91566265060241,0.752589810151613,6,4,6,7,1.23023188435242,0.635802469135803,2.74576271186441,0.632214126099123,0.1059670781893,0.457627118644068,1.40331145312248,0.695440045036592,3.28342575477511,0.67485015808083,0.0993485778623703,0.46906082211073
"arbit04",1.07513932400537,0.583333333333333,2.4,0.668021621523344,0.566085738959629,0.291666666666667,1.41176470588235,0.40834454415751,4,3,2,3,0.102966660465412,0.0416478044363966,1.0434577231932,0.0937242933903852,0.0208239022181983,0.521728861596599,0.6435661541223,0.3944,1.65125495376486,0.464234849518112,0.131466666666667,0.55041831792162
"arbit05",0.801818552543337,0.46,1.85185185185185,0.57838982472352,1.14905969697062,0.617283950617284,2.61290322580645,0.713950931622328,3,4,3,6,0.750484584184837,0.475778546712803,1.90759075907591,0.54136019393354,0.158592848904268,0.635863586358636,1.22351280562641,0.616218514188543,2.60564940459706,0.628761202679576,0.10270308569809,0.434274900766177
"athea02",0,0,1,0,0.859967281035505,0.512396694214876,2.05084745762712,0.620335265838344,1,3,5,5,0.784174017478477,0.379008746355685,1.61032863849765,0.437655852220122,0.075801749271137,0.322065727699531,1.13128270432356,0.579444444444444,2.3778071334214,0.631380898916611,0.115888888888889,0.47556142668428
"backm02",0.864740096527637,0.5390625,2.16949152542373,0.623778124459133,0.970115783986938,0.586666666666667,2.41935483870968,0.699790615323032,3,3,3,3,1.09861228866811,0.666666666666667,3,0.792481250360578,0.222222222222222,1,0.796311640173813,0.448979591836735,1.81481481481481,0.574417427140458,0.149659863945578,0.604938271604938
"backm03",0.210283412286133,0.102264426588751,1.11391375101709,0.191408210571782,0.455219660440243,0.234072022160665,1.30560578661844,0.328371573316148,2,3,4,5,1.09760547874808,0.632236568096626,2.71913929784824,0.681980628310209,0.158059142024157,0.679784824462061,1.19896856818375,0.6328125,2.72340425531915,0.669157098804285,0.1265625,0.54468085106383
"backm04",1.02818385933293,0.625,2.66666666666667,0.741677877490844,1.02818385933293,0.625,2.66666666666667,0.741677877490844,3,3,7,8,1.4823990986912,0.703923900118906,3.37751004016064,0.712883276100022,0.100560557159844,0.482501434308663,1.58937143453897,0.727412533640907,3.66854724964739,0.723354112698771,0.0909265667051134,0.458568406205924
"backm05",0.67391506923448,0.34,1.51515151515151,0.418726975441542,0.772102120709044,0.398530762167126,1.66259541984733,0.479734020644091,4,4,3,5,0.955699891112534,0.571428571428571,2.33333333333333,0.689391746743088,0.19047619047619,0.777777777777778,1.35065710175449,0.694444444444444,3.27272727272727,0.753816081316089,0.138888888888889,0.654545454545455
"badge01",0.474208127199144,0.210612244897959,1.26680455015512,0.294642075680916,0.419649769916732,0.20734693877551,1.2615859938208,0.302713320984532,4,3,8,7,1.54174282035516,0.731770833333333,3.72815533980582,0.701677396228782,0.0914713541666667,0.466019417475728,1.48428783877429,0.721481481481482,3.59042553191489,0.713791568083822,0.103068783068783,0.512917933130699
"belta01",0.661563238157982,0.46875,1.88235294117647,0.602180810265668,0.686961576597323,0.493827160493827,1.97560975609756,0.6252993742043,2,2,7,8,1.64064529774359,0.763430048836541,4.22707953855495,0.78898361163749,0.109061435548077,0.60386850550785,1.66504503890825,0.779805658144788,4.54144276176518,0.757794654257348,0.0974757072680985,0.567680345220648
"belta02",0.500402423538188,0.32,1.47058823529412,0.455485915003595,0.867563228481461,0.5,2,0.625814583693911,2,3,6,6,1.30069280259459,0.638888888888889,2.76923076923077,0.668423875185625,0.106481481481481,0.461538461538461,1.39967824392591,0.6834375,3.15893385982231,0.719292329404526,0.11390625,0.526488976637052
"belta03",0.803742107316203,0.456747404844291,1.84076433121019,0.579777376189366,1.02809405656304,0.548476454293629,2.21472392638037,0.638790753355721,3,4,5,6,1.16513726218195,0.567901234567901,2.31428571428571,0.650275487414575,0.11358024691358,0.462857142857143,1.37822902333627,0.697142857142857,3.30188679245283,0.70826961049839,0.116190476190476,0.550314465408805
"belta04",1.19992300619011,0.682222222222222,3.14685314685315,0.745554082527708,1.34808173226629,0.733024691358025,3.74566473988439,0.837610274898684,4,4,7,9,1.54837733555051,0.739290469104863,3.83568639231,0.744612101141197,0.105612924157838,0.547955198901429,1.6722860295128,0.757766272189349,4.12824427480916,0.726264594781307,0.0841962524654832,0.458693808312129
"belta07",0.95623733106799,0.545454545454545,2.2,0.594143659522587,0.990365041474314,0.559556786703601,2.27044025157233,0.61534839823457,4,4,8,7,1.63900380161872,0.743121193026675,3.89288634505315,0.745942776411933,0.0928901491283344,0.486610793131644,1.58591396474134,0.752984389348026,4.04832713754647,0.762663404069627,0.107569198478289,0.578332448220924
"belta08",0.86696901391535,0.44734693877551,1.80945347119646,0.483864619556813,0.859421235899237,0.435261707988981,1.77073170731707,0.47965212443917,5,5,11,10,2.06733987830366,0.8473865159373,6.55250095456281,0.831958769348554,0.0770351378124818,0.595681904960256,1.78417565644894,0.80009987203895,5.00249804839969,0.744059040729826,0.080009987203895,0.500249804839969
"berge01",0.883946390849814,0.421264802217183,1.72790596430126,0.454258585001443,0.611285512897951,0.323246707013172,1.47764334560757,0.44094928901257,6,3,4,6,1.15308885385981,0.670697908793147,3.03672532517215,0.716454387554406,0.167674477198287,0.759181331293038,1.4703608465751,0.754620498210242,4.07532003572492,0.755616001740325,0.12577008303504,0.679220005954153
"bouv01",1.03972077083992,0.625,2.66666666666667,0.75,0.955699891112534,0.571428571428571,2.33333333333333,0.689391746743088,3,3,4,6,1.20479330969478,0.662721893491124,2.96491228070175,0.748580172237067,0.165680473372781,0.741228070175438,1.46397982160135,0.72216441207076,3.59925093632959,0.752336803583695,0.120360735345127,0.599875156054931
"bouv02",0.859202891778541,0.434818825489379,1.76934414148858,0.533852772536649,0.698275802547709,0.349173553719008,1.53650793650794,0.433863150080541,4,4,7,8,1.57283997480995,0.735224809124328,3.77678889284443,0.756376143923413,0.10503211558919,0.539541270406347,1.65549559421722,0.777354570637119,4.49144634525661,0.753448514682208,0.0971693213296399,0.561430793157076
"bouv03",1.19670066737774,0.60969387755102,2.56209150326797,0.667891359264485,1.09077847021539,0.5472,2.20848056537102,0.60877505544052,5,5,8,10,1.40602005692693,0.660609418282548,2.94645772118838,0.639907304619493,0.0825761772853186,0.368307215148547,1.58899518751387,0.735491071428571,3.78059071729958,0.662662463010526,0.0735491071428571,0.378059071729958
"bouv09",0.374552563439902,0.17965496728138,1.21899927483684,0.270182562913498,0.473928431161534,0.209710743801653,1.26535947712418,0.294468290761691,3,4,10,8,1.8238756673245,0.802432610124918,5.06156405990017,0.760615231204831,0.0802432610124918,0.506156405990017,1.68556455791092,0.783167573653594,4.61185633924708,0.76713348981122,0.0978959467066992,0.576482042405885
"bowes01",1.05492016798614,0.64,2.77777777777778,0.760964047443681,0.964962923007428,0.592592592592593,2.45454545454545,0.696073611832267,3,3,8,8,1.62448468119503,0.781734557239613,4.58157730950476,0.739334839939056,0.0977168196549516,0.572697163688095,1.55024631716254,0.767249527410208,4.29644670050761,0.705547504407566,0.095906190926276,0.537055837563452
"bowes02",0.735621939758795,0.40625,1.68421052631579,0.530639062229566,0.655975732336547,0.357142857142857,1.55555555555556,0.473186467992721,3,3,4,3,1.08487287263509,0.5792,2.37642585551331,0.674069415324219,0.1448,0.594106463878327,0.774311244498752,0.449931412894376,1.81795511221945,0.558547496271455,0.149977137631459,0.605985037406484
