"","PlotID","acma","aeca","arcto","arma","arme","frla","hear","pisa","prunus","psme","qube","qudo","quga","qulo","qusp","rhca","sese","todi"
"1","ANN02",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"2","ANN03",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"3","ANN04",NA,NA,NA,NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"4","ANN05",NA,NA,NA,NA,7,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA
"5","ANN06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA
"6","ANN07",NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"7","ANN08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA
"8","ANN09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"9","ANN10",NA,NA,NA,NA,1,NA,NA,NA,NA,6,NA,NA,1,NA,NA,NA,NA,NA
"10","ANN11",NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"11","ANN12",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"12","ANN13",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,NA,NA,NA,NA,NA
"13","ANN14",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA
"14","ANN15",NA,NA,NA,NA,14,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"15","ANN17",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA
"16","ANN18",NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"17","ANN20",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
"18","ANN21",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"19","ANN23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
"20","ANN24",NA,NA,NA,NA,1,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"21","ANN25",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA
"22","ANN27",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA
"23","ANN28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA
"24","ANN29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"25","ANN30",NA,NA,NA,NA,7,NA,1,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA
"26","ANN31",NA,NA,NA,NA,2,NA,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
"27","ANN32",NA,NA,NA,NA,4,NA,1,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"28","ANN33",NA,NA,NA,NA,14,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"29","ANN34",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"30","ANN35",NA,NA,NA,NA,4,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA
"31","ANN36",NA,1,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ANN37",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA
"33","ANN38",NA,NA,NA,NA,1,NA,3,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA
"34","APGAR01",NA,NA,18,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"35","ARBIT01",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"36","ARBIT02",NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"37","ARBIT03",NA,1,NA,NA,1,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA
"38","ARBIT04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"39","ARBIT05",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"40","BACKM02",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","BACKM03",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"42","BACKM04",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"43","BACKM05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"44","BADGE01",NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,31,NA,NA,NA,NA,1
"45","BELTA03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
"46","BELTA04",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"47","BELTA07",NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"48","BELTA08",NA,NA,NA,NA,1,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA
"49","BERGE01",NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA
"50","BOUV01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"51","BOUV02",NA,NA,NA,NA,4,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"52","BOUV03",NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"53","BOUV09",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","BOWES01",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","BOWES02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
"56","BOWES03",NA,2,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","BUSH01",NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","COOK02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA
