"","PlotID","acma","aeca","arcto sp.","arme","hear","prunus sp.","psme","quercus sp.","quga","sese","unknown sp. 1"
"1","ANN02",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"2","ANN04",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"3","ANN05",NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA
"4","ANN07",NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"5","ANN10",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"6","ANN11",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ANN13",NA,NA,NA,NA,NA,NA,2,NA,1,NA,2
"8","ANN14",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"9","ANN15",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"10","ANN18",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"11","ANN19",NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"12","ANN20",NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA
"13","ANN21",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"14","ANN23",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"15","ANN24",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"16","ANN25",NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA
"17","ANN27",NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"18","ANN29",NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA
"19","ANN30",NA,NA,NA,4,NA,NA,3,NA,1,NA,NA
"20","ANN31",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"21","ANN32",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"22","ANN33",NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA
"23","ANN34",NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"24","ANN35",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"25","ANN37",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"26","ANN38",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"27","APGAR01",NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
"28","ARBIT01",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ARBIT02",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"30","BACKM02",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"31","BACKM04",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"32","BADGE01",NA,NA,9,NA,NA,NA,NA,NA,3,NA,NA
"33","BELTA04",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
