plot.id,slc_2004,slc_2005,slc_2006,slc_2007,slc_2008,slc_2009,slc_2010,slc_2011,easting,northing
ANN01,505,445,1012,1069,1328,1604,1218,2700,532568,4255157
ANN02,184,133,472,389,480,657,566,394,532557,4254989
ANN03,950,1274,1273,1058,757,946,1468,4684,533352,4254736
ANN04,66,89,138,542,576,876,542,272,532314,4254707
ANN05,685,455,1128,622,472,506,269,787,533109,4254426
ANN06,101,1167,2,649,626,506,437,540,531353,4254410
ANN07,4,131,24,69,55,73,80,112,530915,4254163
ANN08,31,394,0,270,192,291,88,166,531490,4254046
ANN09,43,69,162,178,269,223,179,159,531642,4253712
ANN10,2,11,52,112,125,120,322,166,531251,4252716
ANN11,1,0,0,2,32,42,106,19,531964,4252765
ANN12,19,13,365,409,376,403,345,1842,533593,4253918
ANN13,213,214,351,132,68,147,117,634,532839,4253296
ANN14,91,171,277,150,128,123,146,785,533258,4253127
ANN15,253,128,857,433,322,309,263,749,533723,4253228
ANN17,6,36,38,118,128,76,53,107,534656,4253218
ANN18,116,52,219,255,178,246,150,390,532916,4252787
ANN19,148,94,269,250,163,98,67,176,532487,4252438
ANN20,60,26,90,22,12,34,14,169,532753,4252341
ANN21,189,132,561,316,253,250,672,1437,533279,4252561
ANN22,788,536,949,624,547,685,670,1143,533211,4251684
ANN23,0,0,0,14,9,18,11,15,533786,4252115
ANN24,314,145,414,416,116,142,325,632,534558,4252390
ANN25,189,80,292,174,81,85,118,508,534762,4252244
ANN27,299,58,317,210,158,253,373,487,535906,4252866
ANN29,220,489,635,337,225,207,402,1044,534830,4250940
ANN30,11,46,37,202,120,40,235,134,535539,4251509
ANN31,186,74,230,145,110,52,110,996,536014,4251717
ANN32,489,854,798,529,448,401,385,1143,535549,4250871
ANN33,320,366,880,634,387,375,389,1702,536450,4251163
ANN34,1129,1263,1032,889,521,757,1325,2463,535492,4250306
ANN35,233,143,373,153,131,51,121,448,536662,4250714
ANN36,31,288,115,700,470,217,711,575,530822,4253623
ANN37,32,517,662,937,552,675,666,1153,534705,4251499
ANN38,68,42,130,65,42,6,42,484,535946,4252012
