plot.id,slc_2004,slc_2005,slc_2006,slc_2007,slc_2008,slc_2009,slc_2010,slc_2011,easting,northing
APGAR01,50,98,1083,550,575,379,690,715,547360,4247383
ARBIT01,288,264,320,159,158,234,267,510,540123,4241466
ARBIT02,12,2,149,95,153,103,137,120,541154,4242255
ARBIT03,35,29,249,265,483,525,515,561,540601,4242621
ARBIT04,727,267,681,374,411,531,482,1028,540417,4241851
ARBIT05,0,0,0,0,0,0,0,52,539634,4242210
ATHEA02,1718,577,1202,644,494,458,1258,2194,540726,4243304
BACKM02,0,0,0,0,0,0,0,0,539622,4257516
BACKM03,22,7,1622,185,780,969,524,862,540381,4257375
BACKM04,39,16,48,22,572,279,645,768,540842,4257027
BACKM05,259,218,2084,377,955,862,738,1245,540224,4257264
BELTA01,526,210,638,494,431,139,291,1631,543935,4252405
BELTA02,79,107,171,74,41,121,114,206,544031,4252022
BELTA03,67,60,379,325,118,170,102,90,544333,4251838
BELTA04,829,682,1396,653,542,587,421,2201,544631,4251425
BELTA07,0,0,0,0,0,0,0,0,542726,4251449
BELTA08,1912,1534,1998,1040,575,538,1866,4345,543310,4250510
BERGE01,770,894,2156,1480,1590,1773,2168,3470,537633,4246497
BOUV01,31,0,199,84,214,28,215,472,543187,4246863
BOUV02,620,85,6290,1630,1725,1160,1693,2074,543486,4246621
BOUV03,66,19,517,413,803,258,1069,1592,543937,4246578
BOUV09,429,1477,2968,613,749,507,1267,1413,544664,4248242
BOWES01,746,334,1115,707,501,407,474,1180,540971,4241001
BOWES02,957,261,1699,802,691,458,376,771,540521,4240654
BOWES03,272,54,350,133,111,73,136,370,541624,4240612
COCHR01,9,0,0,33,346,506,278,410,543141,4247150
COOK01,12,17,86,133,103,169,112,191,533160,4244516
COOK02,102,6,463,305,135,205,105,536,533526,4244088
DOMAN01,0,0,408,360,468,423,471,1520,537569,4246106
ELIOT01,881,876,1187,378,357,830,1729,2416,539162,4241404
FERRA01,179,48,5171,2456,1330,1698,1147,2599,546236,4244249
FOP04,489,331,666,456,329,171,1621,2496,535934,4244657
FOP324,817,505,1583,1181,953,231,1241,3485,535599,4244208
FOP333,848,869,474,440,313,52,792,2395,535539,4243772
FOP340,110,50,39,137,152,58,218,199,535006,4243430
FRIDE01,44,1,0,54,74,79,39,183,538233,4249518
GA0Y01,48,24,20,35,30,63,48,18,545430,4249219
GA0Y02,36,14,154,158,109,241,248,165,545669,4248943
GARD01,0,0,0,0,494,401,434,646,547446,4247641
HALLO01,0,0,0,0,0,0,0,0,545142,4249407
HALOW02,742,572,1398,514,499,429,576,1945,540498,4240201
HOOD01,691,145,4921,1545,1578,2370,1641,6485,537419,4258560
HOOD02,44,14,523,774,1140,2106,1390,1747,537413,4258105
HOOD03,0,13,420,349,250,59,103,352,539143,4257030
HOOD04,221,291,490,505,212,376,955,1341,538682,4257182
HOOD05,214,170,345,411,688,270,692,1310,538687,4256610
HOOD07,0,1,34,29,278,142,378,481,539549,4255867
JLSP01,728,502,447,408,283,287,645,871,540340,4244942
JLSP02,13,18,10,41,13,18,56,132,540211,4245241
JLSP03,2745,1953,2505,1776,1219,1176,1925,4238,538940,4244790
JLSP04,457,371,266,437,242,165,677,919,539803,4244462
JLSP05,2097,1518,1519,1035,1068,1066,1892,2623,540335,4244058
JLSP06,0,0,0,0,0,0,0,0,539861,4243884
JLSP07,646,161,616,372,421,504,736,643,540018,4243338
JLSP08,740,445,595,429,456,414,1065,1520,539632,4243555
JLSP10,873,324,1112,702,575,656,1392,1965,539312,4243911
JLSP13,431,233,222,118,139,168,695,745,538232,4244705
JLSP14,652,286,420,256,193,282,410,578,538172,4244484
JLSP15,645,467,1133,387,250,229,422,836,537631,4244882
JLSP16,195,124,299,107,147,114,194,302,537905,4245554
JLSP17,458,234,910,546,546,580,616,1233,537229,4245436
JOHNS01,727,203,791,712,452,503,913,1975,537319,4256725
JOHNS02,0,0,77,47,97,163,346,343,538022,4256732
JROTH01,795,477,574,501,382,194,776,954,535957,4245360
JROTH02,520,453,460,410,567,668,1276,836,536265,4245454
JROTH03,668,640,362,970,606,1019,1173,1529,536353,4244964
JROTH04,114,142,48,44,30,58,64,181,536242,4244457
JROTH05,1181,1864,1641,1278,959,437,2448,4615,535897,4243994
KLASS01,0,0,27,34,49,35,47,33,539286,4240856
KLASS02,640,448,543,525,393,607,885,1626,539093,4240567
KUNDE01,8,0,23,368,218,250,301,377,540727,4252409
KUNDE02,6,7,55,233,176,28,140,158,540932,4252254
KUNDE03,0,0,0,0,0,0,0,0,541487,4253302
KUNDE04,5,0,200,185,190,6,61,83,541228,4253406
LARS01,0,0,20,80,836,456,417,564,547219,4247603
LAZY04,388,512,2903,2247,2057,1691,2386,2137,542046,4251799
LAZY05,1,2,0,57,71,61,128,79,542168,4252310
LINS01,351,762,1849,773,818,686,576,1438,535059,4243938
LUPIN01,548,457,530,205,217,251,260,1395,539688,4241511
MACKI01,12,0,5,6,43,58,98,14,530845,4251593
MCCOR01,708,427,239,100,91,110,242,1196,539110,4259852
MCCOR02,0,0,0,0,0,0,0,0,539508,4259664
MCCOR05,16,58,257,145,141,65,189,244,539671,4259888
MCNEIL03,0,10,0,0,20,411,159,476,547303,4244917
MESCH01,847,444,1644,935,606,935,638,3063,535523,4247923
MITSU01,617,1559,1221,935,564,664,3570,2311,536696,4242794
MITSU02,99,58,110,66,71,40,250,266,536321,4242254
MITSU03,632,262,934,654,425,227,1330,1822,537622,4242828
MITSU04,9,79,141,139,140,53,543,454,537949,4243429
MOREL01,92,40,294,612,383,397,461,408,533766,4242682
MOREL02,142,0,196,359,200,359,138,111,533838,4242167
MROTH01,680,529,1125,874,560,882,1945,2317,535337,4243126
MROTH02,864,718,1119,872,565,461,466,2148,534851,4242831
MROTH03,0,0,0,0,0,0,0,0,534878,4242440
MUTTE01,136,73,938,712,1185,527,600,1247,546621,4245888
MUTTE02,2102,1132,2100,1878,1751,1387,2369,3530,546183,4245853
NELSO01,16,17,1,260,122,267,226,169,544914,4243687
NELSO02,0,7,0,23,49,121,31,24,545219,4243415
OTELL01,23,0,48,83,126,197,104,66,538589,4250177
PARDI01,1567,1106,1852,734,640,385,625,2448,540106,4239786
PARSO01,49,0,0,96,121,251,132,151,538483,4250998
PETER01,0,0,0,0,0,0,0,0,538073,4249851
PETSN01,288,92,528,333,203,131,259,569,543423,4251622
PETSN02,0,0,0,0,0,0,0,0,543541,4251969
PFEND01,0,0,0,0,0,0,0,0,535828,4240691
PFEND02,397,331,828,494,358,222,544,1528,536553,4241305
PHILL01,0,0,0,0,0,0,0,0,540664,4248079
PHILL02,0,0,0,0,0,0,0,0,540835,4247580
PONTI02,1477,618,2878,1920,1467,1966,4865,3813,544927,4249743
REDDE01,0,383,375,86,613,338,566,613,542228,4240344
REDDE02,29,182,184,18,207,180,188,162,541908,4240063
SAWI01,1064,488,1737,999,861,599,1644,1487,540053,4238673
SCHIEK01,176,91,688,373,760,580,497,661,535288,4242087
SCHIEK02,0,0,0,0,0,0,0,0,535759,4241657
SDC01,912,664,632,371,264,369,397,1042,540525,4244490
SDC02,1690,1124,1957,1179,788,961,1014,3243,541018,4244753
SDC03,353,540,614,242,568,608,981,1233,540931,4243866
SDC04,0,0,0,0,0,0,0,0,541407,4244187
SDC05,5,49,0,70,86,111,72,127,542163,4244119
SDC06,43,28,0,98,130,108,319,140,542270,4244915
SECRET01,2,0,0,130,62,51,5,6,545280,4247157
SECRET02,20,24,30,269,289,277,324,244,545090,4246919
SECRET03,24,17,5,167,395,235,89,335,544869,4247146
SKILE01,355,190,1179,515,523,396,322,821,536904,4245680
SPAUL01,3,7,663,487,407,337,676,441,538611,4259065
SPAUL02,34,3,165,58,51,41,67,62,538096,4259079
SPIVY01,1,0,160,250,209,257,333,476,538580,4249648
STATE123,12,0,63,136,128,150,104,58,537143,4255244
SUGAR01,25,4,3,233,213,279,312,147,543158,4256456
SUGAR04,32,45,64,185,167,203,75,168,544446,4256407
SUGAR05,34,69,237,247,124,35,192,136,542774,4254843
SUGAR07,223,168,742,398,433,434,364,556,543651,4255715
SUGAR08,0,929,89,614,501,617,818,703,542176,4254983
SUGAR09,14,13,279,206,228,231,135,162,544075,4255305
SUGAR11,75,121,151,259,215,281,182,260,544501,4254868
SUGAR12,5,21,640,429,321,315,455,391,543686,4255213
SUGAR13,1401,609,1216,1084,572,556,598,2965,541187,4254925
SUGAR15,432,750,1551,1094,802,934,761,1995,543580,4254194
SUGAR16,1355,1117,2235,1106,747,667,1311,5944,543852,4254795
SUGAR17,138,51,275,177,177,466,423,321,542408,4254156
SUGAR18,650,367,1154,833,435,210,395,2022,541889,4254689
SUGAR19,52,83,731,1044,726,547,1020,472,543086,4254704
SUGAR21,267,173,825,1615,1191,969,844,1730,543524,4256280
SUGAR23,28,13,12,72,76,24,236,238,541949,4257544
SUGAR24,0,0,0,0,0,0,0,0,542415,4256935
SUGAR30,173,82,144,579,351,499,527,205,542911,4256192
SUGAR31,276,263,720,557,620,881,596,1083,544072,4254197
SUGAR32,43,7,19,293,217,89,224,277,541524,4257590
SUMTV01,0,0,0,0,0,0,0,0,532963,4246104
SVRP01,0,0,0,0,0,0,0,0,542374,4246003
SVRP02,10,37,5,64,58,93,68,71,541746,4245403
TELL02,0,56,0,650,995,421,1530,1867,544468,4245854
TELL03,0,0,0,0,0,0,0,0,544877,4245342
TELL04,0,23,0,64,140,30,100,218,543696,4245441
TERRI02,729,590,856,592,320,225,533,2784,535661,4256967
TERRI03,0,0,0,0,0,0,0,34,535528,4256576
VOTRU01,18,19,506,404,357,350,265,457,532176,4248258
WATKI01,80,163,185,649,718,836,433,826,539517,4248302
YAHNG01,37,27,283,107,187,173,840,178,529903,4249354
YAHNG02,34,17,71,39,43,30,46,61,529601,4249787
YAHNG03,386,129,593,581,477,433,1026,934,529582,4249246
ZEN01,77,82,417,187,425,218,187,378,536945,4247188
ZEN02,937,992,1842,543,948,708,631,912,536877,4246937
