plot.id,tag,spp,dbh,year,stem.status,slc,log10_slc
ANN01,815,UMCA,10,2011,alive,126,2.103803721
ANN01,816,UMCA,1,2004,alive,0,0
ANN01,816,UMCA,1,2005,alive,8,0.954242509
ANN01,816,UMCA,1,2006,alive,25,1.414973348
ANN01,816,UMCA,1,2007,alive,64,1.812913357
ANN01,816,UMCA,1,2008,alive,35,1.556302501
ANN01,816,UMCA,1,2009,alive,141,2.152288344
ANN01,816,UMCA,1,2010,alive,146,2.167317335
ANN01,816,UMCA,1,2011,alive,148,2.173186268
ANN01,822,UMCA,23,2004,alive,71,1.857332496
ANN01,822,UMCA,23,2005,alive,21,1.342422681
ANN01,822,UMCA,23,2006,alive,50,1.707570176
ANN01,822,UMCA,23,2007,alive,53,1.73239376
ANN01,822,UMCA,23,2008,alive,74,1.875061263
ANN01,822,UMCA,23,2009,alive,66,1.826074803
ANN01,822,UMCA,23,2010,alive,74,1.875061263
ANN01,822,UMCA,23,2011,alive,109,2.041392685
ANN01,826,UMCA,11,2004,alive,120,2.08278537
ANN01,826,UMCA,11,2005,alive,54,1.740362689
ANN01,826,UMCA,11,2006,alive,76,1.886490725
ANN01,826,UMCA,11,2007,alive,23,1.380211242
ANN01,826,UMCA,11,2008,alive,68,1.838849091
ANN01,826,UMCA,11,2009,alive,56,1.755874856
ANN01,826,UMCA,11,2010,alive,105,2.025305865
ANN01,826,UMCA,11,2011,alive,172,2.238046103
ANN01,827,UMCA,11,2004,alive,0,0
ANN01,827,UMCA,11,2005,alive,0,0
ANN01,827,UMCA,11,2006,alive,16,1.230448921
ANN01,828,UMCA,17,2004,alive,0,0
ANN01,828,UMCA,17,2005,alive,0,0
ANN01,828,UMCA,17,2006,alive,37,1.579783597
ANN01,828,UMCA,17,2007,alive,9,1
ANN01,828,UMCA,17,2008,alive,45,1.662757832
ANN01,828,UMCA,17,2009,alive,84,1.929418926
ANN01,828,UMCA,17,2010,alive,32,1.51851394
ANN01,828,UMCA,17,2011,alive,76,1.886490725
ANN01,832,UMCA,11,2004,alive,0,0
ANN01,832,UMCA,11,2005,alive,0,0
ANN01,832,UMCA,11,2006,alive,47,1.681241237
ANN01,832,UMCA,11,2007,alive,50,1.707570176
ANN01,832,UMCA,11,2008,alive,75,1.880813592
ANN01,832,UMCA,11,2009,alive,117,2.071882007
ANN01,832,UMCA,11,2010,alive,58,1.770852012
ANN01,832,UMCA,11,2011,alive,162,2.212187604
ANN01,834,UMCA,17,2004,alive,4,0.698970004
ANN01,834,UMCA,17,2005,alive,44,1.653212514
ANN01,834,UMCA,17,2006,alive,47,1.681241237
ANN01,834,UMCA,17,2007,alive,35,1.556302501
ANN01,834,UMCA,17,2008,alive,60,1.785329835
ANN01,834,UMCA,17,2009,alive,50,1.707570176
ANN01,834,UMCA,17,2010,alive,32,1.51851394
ANN01,834,UMCA,17,2011,alive,196,2.294466226
ANN01,836,UMCA,7,2004,alive,0,0
ANN01,836,UMCA,7,2005,alive,0,0
ANN01,836,UMCA,7,2006,alive,3,0.602059991
ANN01,836,UMCA,7,2007,alive,5,0.77815125
ANN01,836,UMCA,7,2008,alive,15,1.204119983
ANN01,836,UMCA,7,2009,alive,14,1.176091259
ANN01,836,UMCA,7,2010,alive,2,0.477121255
ANN01,836,UMCA,7,2011,alive,48,1.69019608
ANN01,838,UMCA,4,2004,alive,24,1.397940009
ANN01,838,UMCA,4,2005,alive,14,1.176091259
ANN01,838,UMCA,4,2006,alive,125,2.100370545
ANN01,838,UMCA,4,2007,alive,43,1.643452676
ANN01,838,UMCA,4,2008,alive,45,1.662757832
ANN01,838,UMCA,4,2009,alive,47,1.681241237
ANN01,838,UMCA,4,2010,alive,24,1.397940009
ANN01,838,UMCA,4,2011,alive,140,2.149219113
ANN01,841,UMCA,23,2004,alive,64,1.812913357
ANN01,841,UMCA,23,2005,alive,39,1.602059991
ANN01,841,UMCA,23,2006,alive,118,2.075546961
ANN01,841,UMCA,23,2007,alive,41,1.62324929
ANN01,841,UMCA,23,2008,alive,32,1.51851394
ANN01,841,UMCA,23,2009,alive,71,1.857332496
ANN01,841,UMCA,23,2010,alive,59,1.77815125
ANN01,841,UMCA,23,2011,alive,151,2.181843588
ANN01,844,UMCA,10,2004,alive,0,0
ANN01,844,UMCA,10,2005,alive,31,1.505149978
ANN01,844,UMCA,10,2006,alive,82,1.919078092
ANN01,844,UMCA,10,2007,alive,105,2.025305865
ANN01,844,UMCA,10,2008,alive,64,1.812913357
ANN01,844,UMCA,10,2009,alive,97,1.991226076
ANN01,844,UMCA,10,2010,alive,49,1.698970004
ANN01,844,UMCA,10,2011,alive,68,1.838849091
ANN01,862,UMCA,12,2004,alive,17,1.255272505
ANN01,862,UMCA,12,2005,alive,31,1.505149978
ANN01,862,UMCA,12,2006,alive,27,1.447158031
ANN01,862,UMCA,12,2007,alive,72,1.86332286
ANN01,862,UMCA,12,2008,alive,96,1.986771734
ANN01,862,UMCA,12,2009,alive,75,1.880813592
ANN01,862,UMCA,12,2010,alive,43,1.643452676
ANN01,862,UMCA,12,2011,alive,161,2.209515015
ANN01,875,UMCA,24,2004,alive,15,1.204119983
ANN01,875,UMCA,24,2005,alive,15,1.204119983
ANN01,875,UMCA,24,2006,alive,13,1.146128036
ANN01,875,UMCA,24,2007,alive,45,1.662757832
ANN01,875,UMCA,24,2008,alive,46,1.672097858
ANN01,875,UMCA,24,2010,alive,50,1.707570176
ANN01,875,UMCA,24,2011,alive,69,1.84509804
ANN01,879,UMCA,7,2004,alive,81,1.913813852
ANN01,879,UMCA,7,2005,alive,54,1.740362689
ANN01,879,UMCA,7,2006,alive,44,1.653212514
ANN01,879,UMCA,7,2007,alive,69,1.84509804
ANN01,879,UMCA,7,2008,alive,78,1.897627091
ANN01,879,UMCA,7,2009,alive,102,2.012837225
ANN01,879,UMCA,7,2010,alive,41,1.62324929
ANN01,879,UMCA,7,2011,alive,199,2.301029996
ANN01,884,UMCA,9,2004,alive,22,1.361727836
ANN01,884,UMCA,9,2005,alive,30,1.491361694
ANN01,884,UMCA,9,2006,alive,25,1.414973348
ANN01,884,UMCA,9,2007,alive,64,1.812913357
ANN01,884,UMCA,9,2008,alive,69,1.84509804
ANN01,884,UMCA,9,2009,alive,138,2.1430148
ANN01,884,UMCA,9,2010,alive,74,1.875061263
ANN01,884,UMCA,9,2011,alive,158,2.201397124
ANN01,887,UMCA,16,2004,alive,1,0.301029996
ANN01,887,UMCA,16,2005,alive,14,1.176091259
ANN01,887,UMCA,16,2006,alive,23,1.380211242
ANN01,887,UMCA,16,2007,alive,56,1.755874856
ANN01,887,UMCA,16,2008,alive,76,1.886490725
ANN01,887,UMCA,16,2009,alive,63,1.806179974
ANN01,887,UMCA,16,2010,alive,21,1.342422681
ANN01,887,UMCA,16,2011,alive,21,1.342422681
ANN01,889,UMCA,14,2004,alive,46,1.672097858
ANN01,889,UMCA,14,2005,alive,41,1.62324929
ANN01,889,UMCA,14,2006,alive,78,1.897627091
ANN01,889,UMCA,14,2007,alive,85,1.934498451
ANN01,889,UMCA,14,2008,alive,68,1.838849091
ANN01,889,UMCA,14,2009,alive,53,1.73239376
ANN01,889,UMCA,14,2010,alive,54,1.740362689
ANN01,889,UMCA,14,2011,alive,143,2.158362492
ANN01,900,UMCA,13,2004,alive,1,0.301029996
ANN01,900,UMCA,13,2005,alive,12,1.113943352
ANN01,900,UMCA,13,2006,alive,46,1.672097858
ANN01,900,UMCA,13,2007,alive,42,1.633468456
ANN01,900,UMCA,13,2008,alive,87,1.944482672
ANN01,900,UMCA,13,2009,alive,22,1.361727836
ANN01,900,UMCA,13,2010,alive,43,1.643452676
ANN01,900,UMCA,13,2011,alive,51,1.716003344
ANN01,4540,UMCA,2,2006,alive,8,0.954242509
ANN01,4540,UMCA,2,2008,alive,24,1.397940009
ANN01,4540,UMCA,2,2009,alive,82,1.919078092
ANN01,4540,UMCA,2,2010,alive,98,1.995635195
ANN01,4540,UMCA,2,2011,alive,78,1.897627091
ANN01,4541,UMCA,3,2006,alive,56,1.755874856
ANN01,4541,UMCA,3,2007,alive,33,1.531478917
ANN01,4541,UMCA,3,2008,alive,35,1.556302501
ANN01,4541,UMCA,3,2009,alive,62,1.799340549
ANN01,4541,UMCA,3,2010,alive,72,1.86332286
ANN01,4541,UMCA,3,2011,alive,87,1.944482672
ANN02,227,UMCA,20,2004,alive,3,0.602059991
ANN02,227,UMCA,20,2005,alive,0,0
ANN02,227,UMCA,20,2006,alive,13,1.146128036
ANN02,227,UMCA,20,2007,alive,47,1.681241237
ANN02,227,UMCA,20,2008,alive,46,1.672097858
ANN02,227,UMCA,20,2009,alive,61,1.792391689
ANN02,227,UMCA,20,2010,alive,61,1.792391689
ANN02,227,UMCA,20,2011,alive,40,1.612783857
ANN02,354,UMCA,13,2004,alive,1,0.301029996
ANN02,354,UMCA,13,2005,alive,0,0
ANN02,354,UMCA,13,2006,alive,24,1.397940009
ANN02,354,UMCA,13,2007,alive,19,1.301029996
ANN02,354,UMCA,13,2008,alive,25,1.414973348
ANN02,354,UMCA,13,2009,alive,41,1.62324929
ANN02,354,UMCA,13,2010,alive,18,1.278753601
ANN02,354,UMCA,13,2011,alive,15,1.204119983
ANN02,501,UMCA,17,2004,alive,58,1.770852012
ANN02,501,UMCA,17,2005,alive,26,1.431363764
ANN02,501,UMCA,17,2006,alive,25,1.414973348
ANN02,501,UMCA,17,2007,alive,25,1.414973348
ANN02,501,UMCA,17,2008,alive,54,1.740362689
ANN02,501,UMCA,17,2009,alive,42,1.633468456
ANN02,501,UMCA,17,2010,alive,26,1.431363764
ANN02,501,UMCA,17,2011,alive,28,1.462397998
ANN02,531,UMCA,12,2004,alive,3,0.602059991
ANN02,531,UMCA,12,2005,alive,5,0.77815125
ANN02,531,UMCA,12,2006,alive,48,1.69019608
ANN02,531,UMCA,12,2007,alive,61,1.792391689
ANN02,531,UMCA,12,2008,alive,40,1.612783857
ANN02,531,UMCA,12,2009,alive,70,1.851258349
ANN02,531,UMCA,12,2010,alive,70,1.851258349
ANN02,531,UMCA,12,2011,alive,29,1.477121255
ANN02,534,UMCA,9,2004,alive,24,1.397940009
ANN02,534,UMCA,9,2005,alive,11,1.079181246
ANN02,534,UMCA,9,2006,alive,53,1.73239376
ANN02,534,UMCA,9,2007,alive,49,1.698970004
ANN02,534,UMCA,9,2008,alive,64,1.812913357
ANN02,534,UMCA,9,2009,alive,101,2.008600172
ANN02,534,UMCA,9,2010,alive,120,2.08278537
ANN02,534,UMCA,9,2011,alive,80,1.908485019
ANN02,535,UMCA,14,2004,alive,35,1.556302501
ANN02,535,UMCA,14,2005,alive,19,1.301029996
ANN02,535,UMCA,14,2006,alive,136,2.136720567
ANN02,535,UMCA,14,2007,alive,58,1.770852012
ANN02,535,UMCA,14,2008,alive,37,1.579783597
ANN02,535,UMCA,14,2009,alive,105,2.025305865
ANN02,535,UMCA,14,2010,alive,92,1.968482949
ANN02,535,UMCA,14,2011,alive,70,1.851258349
ANN02,545,UMCA,16,2004,alive,0,0
ANN02,545,UMCA,16,2005,alive,0,0
ANN02,545,UMCA,16,2006,alive,22,1.361727836
ANN02,545,UMCA,16,2007,alive,16,1.230448921
ANN02,545,UMCA,16,2008,alive,44,1.653212514
ANN02,545,UMCA,16,2009,alive,48,1.69019608
ANN02,545,UMCA,16,2010,alive,12,1.113943352
ANN02,545,UMCA,16,2011,alive,28,1.462397998
ANN02,559,UMCA,19,2004,alive,0,0
ANN02,559,UMCA,19,2005,alive,1,0.301029996
ANN02,559,UMCA,19,2006,alive,3,0.602059991
ANN02,559,UMCA,19,2007,alive,9,1
ANN02,559,UMCA,19,2008,alive,21,1.342422681
ANN02,559,UMCA,19,2009,alive,12,1.113943352
ANN02,559,UMCA,19,2010,alive,2,0.477121255
ANN02,559,UMCA,19,2011,alive,9,1
ANN02,560,UMCA,10,2004,alive,3,0.602059991
ANN02,560,UMCA,10,2005,alive,1,0.301029996
ANN02,560,UMCA,10,2006,alive,52,1.72427587
ANN02,560,UMCA,10,2007,alive,30,1.491361694
ANN02,560,UMCA,10,2008,alive,67,1.832508913
ANN02,560,UMCA,10,2009,alive,102,2.012837225
ANN02,560,UMCA,10,2010,alive,93,1.973127854
ANN02,560,UMCA,10,2011,alive,41,1.62324929
ANN02,599,UMCA,15,2004,alive,32,1.51851394
ANN02,599,UMCA,15,2005,alive,48,1.69019608
ANN02,599,UMCA,15,2006,alive,53,1.73239376
ANN02,599,UMCA,15,2007,alive,43,1.643452676
ANN02,599,UMCA,15,2008,alive,52,1.72427587
ANN02,599,UMCA,15,2009,alive,27,1.447158031
ANN02,599,UMCA,15,2010,alive,54,1.740362689
ANN02,599,UMCA,15,2011,alive,31,1.505149978
ANN02,640,UMCA,13,2004,alive,25,1.414973348
ANN02,640,UMCA,13,2005,alive,22,1.361727836
ANN02,640,UMCA,13,2006,alive,43,1.643452676
ANN02,640,UMCA,13,2007,alive,32,1.51851394
ANN02,640,UMCA,13,2008,alive,30,1.491361694
ANN02,640,UMCA,13,2009,alive,48,1.69019608
ANN02,640,UMCA,13,2010,alive,18,1.278753601
ANN02,640,UMCA,13,2011,alive,23,1.380211242
ANN03,524,UMCA,4,2004,alive,18,1.278753601
ANN03,524,UMCA,4,2005,alive,38,1.591064607
ANN03,524,UMCA,4,2006,alive,28,1.462397998
ANN03,524,UMCA,4,2007,alive,96,1.986771734
ANN03,524,UMCA,4,2008,alive,37,1.579783597
ANN03,524,UMCA,4,2009,alive,75,1.880813592
ANN03,524,UMCA,4,2010,alive,117,2.071882007
ANN03,524,UMCA,4,2011,alive,182,2.26245109
ANN03,537,UMCA,13,2004,alive,67,1.832508913
ANN03,537,UMCA,13,2005,alive,93,1.973127854
ANN03,537,UMCA,13,2006,alive,80,1.908485019
ANN03,537,UMCA,13,2007,alive,29,1.477121255
ANN03,537,UMCA,13,2008,alive,12,1.113943352
ANN03,537,UMCA,13,2009,alive,44,1.653212514
ANN03,537,UMCA,13,2010,alive,22,1.361727836
ANN03,537,UMCA,13,2011,alive,137,2.139879086
ANN03,569,UMCA,3,2004,alive,19,1.301029996
ANN03,569,UMCA,3,2005,alive,52,1.72427587
ANN03,569,UMCA,3,2006,alive,44,1.653212514
ANN03,569,UMCA,3,2007,alive,60,1.785329835
ANN03,569,UMCA,3,2008,alive,45,1.662757832
ANN03,569,UMCA,3,2009,alive,10,1.041392685
ANN03,569,UMCA,3,2010,alive,17,1.255272505
ANN03,573,UMCA,16,2004,alive,82,1.919078092
ANN03,573,UMCA,16,2005,alive,60,1.785329835
ANN03,573,UMCA,16,2006,alive,69,1.84509804
ANN03,573,UMCA,16,2007,alive,4,0.698970004
ANN03,573,UMCA,16,2008,alive,24,1.397940009
ANN03,573,UMCA,16,2009,alive,9,1
ANN03,573,UMCA,16,2010,alive,41,1.62324929
ANN03,573,UMCA,16,2011,alive,93,1.973127854
ANN03,574,UMCA,13,2004,alive,61,1.792391689
ANN03,574,UMCA,13,2005,alive,82,1.919078092
ANN03,574,UMCA,13,2006,alive,67,1.832508913
ANN03,574,UMCA,13,2007,alive,64,1.812913357
ANN03,574,UMCA,13,2008,alive,31,1.505149978
ANN03,601,UMCA,12,2004,alive,95,1.982271233
ANN03,601,UMCA,12,2005,alive,77,1.892094603
ANN03,601,UMCA,12,2006,alive,81,1.913813852
ANN03,601,UMCA,12,2007,alive,43,1.643452676
ANN03,601,UMCA,12,2008,alive,27,1.447158031
ANN03,601,UMCA,12,2009,alive,38,1.591064607
ANN03,601,UMCA,12,2010,alive,19,1.301029996
ANN03,601,UMCA,12,2011,alive,99,2
ANN03,602,UMCA,7,2004,alive,0,0
ANN03,602,UMCA,7,2005,alive,26,1.431363764
ANN03,602,UMCA,7,2006,alive,22,1.361727836
ANN03,602,UMCA,7,2007,alive,22,1.361727836
ANN03,602,UMCA,7,2008,alive,37,1.579783597
ANN03,602,UMCA,7,2009,alive,25,1.414973348
ANN03,602,UMCA,7,2010,alive,5,0.77815125
ANN03,602,UMCA,7,2011,alive,144,2.161368002
ANN03,612,UMCA,7,2004,alive,33,1.531478917
ANN03,612,UMCA,7,2005,alive,41,1.62324929
ANN03,612,UMCA,7,2006,alive,40,1.612783857
ANN03,612,UMCA,7,2007,alive,50,1.707570176
ANN03,612,UMCA,7,2008,alive,15,1.204119983
ANN03,612,UMCA,7,2009,alive,24,1.397940009
ANN03,612,UMCA,7,2010,alive,44,1.653212514
ANN03,612,UMCA,7,2011,alive,86,1.939519253
ANN03,614,UMCA,21,2004,alive,94,1.977723605
ANN03,614,UMCA,21,2005,alive,43,1.643452676
ANN03,614,UMCA,21,2006,alive,59,1.77815125
ANN03,614,UMCA,21,2007,alive,16,1.230448921
ANN03,614,UMCA,21,2008,alive,11,1.079181246
ANN03,614,UMCA,21,2009,alive,31,1.505149978
ANN03,614,UMCA,21,2010,alive,3,0.602059991
ANN03,614,UMCA,21,2011,alive,81,1.913813852
ANN03,615,UMCA,4,2004,alive,7,0.903089987
ANN03,615,UMCA,4,2005,alive,27,1.447158031
ANN03,615,UMCA,4,2006,alive,49,1.698970004
ANN03,615,UMCA,4,2007,alive,39,1.602059991
ANN03,615,UMCA,4,2008,alive,8,0.954242509
ANN03,615,UMCA,4,2009,alive,27,1.447158031
ANN03,615,UMCA,4,2010,alive,21,1.342422681
ANN03,615,UMCA,4,2011,alive,30,1.491361694
ANN03,617,UMCA,2,2004,alive,8,0.954242509
ANN03,617,UMCA,2,2005,alive,34,1.544068044
ANN03,617,UMCA,2,2006,alive,20,1.322219295
ANN03,617,UMCA,2,2007,alive,25,1.414973348
ANN03,617,UMCA,2,2008,alive,61,1.792391689
ANN03,617,UMCA,2,2009,alive,58,1.770852012
ANN03,617,UMCA,2,2010,alive,96,1.986771734
ANN03,617,UMCA,2,2011,alive,87,1.944482672
ANN03,621,UMCA,11,2004,alive,25,1.414973348
ANN03,621,UMCA,11,2005,alive,19,1.301029996
ANN03,621,UMCA,11,2006,alive,44,1.653212514
ANN03,621,UMCA,11,2007,alive,18,1.278753601
ANN03,621,UMCA,11,2008,alive,16,1.230448921
ANN03,621,UMCA,11,2009,alive,34,1.544068044
ANN03,621,UMCA,11,2010,alive,16,1.230448921
ANN03,621,UMCA,11,2011,alive,130,2.117271296
ANN03,622,UMCA,2,2004,alive,44,1.653212514
ANN03,622,UMCA,2,2005,alive,49,1.698970004
ANN03,622,UMCA,2,2011,A3,66,1.826074803
ANN03,626,UMCA,4,2004,alive,58,1.770852012
ANN03,626,UMCA,4,2005,alive,36,1.568201724
ANN03,626,UMCA,4,2006,alive,57,1.763427994
ANN03,626,UMCA,4,2007,alive,83,1.924279286
ANN03,626,UMCA,4,2008,alive,51,1.716003344
ANN03,626,UMCA,4,2009,alive,59,1.77815125
ANN03,626,UMCA,4,2010,alive,33,1.531478917
ANN03,626,UMCA,4,2011,alive,109,2.041392685
ANN03,635,UMCA,2,2004,alive,8,0.954242509
ANN03,635,UMCA,2,2005,alive,0,0
ANN03,635,UMCA,2,2006,alive,23,1.380211242
ANN03,635,UMCA,2,2007,alive,49,1.698970004
ANN03,635,UMCA,2,2008,alive,101,2.008600172
ANN03,635,UMCA,2,2009,alive,64,1.812913357
ANN03,635,UMCA,2,2010,alive,53,1.73239376
ANN03,635,UMCA,2,2011,alive,129,2.113943352
ANN03,638,UMCA,1,2004,alive,0,0
ANN03,638,UMCA,1,2005,alive,0,0
ANN03,638,UMCA,1,2006,alive,32,1.51851394
ANN03,638,UMCA,1,2007,alive,39,1.602059991
ANN03,638,UMCA,1,2008,alive,19,1.301029996
ANN03,638,UMCA,1,2009,alive,51,1.716003344
ANN03,638,UMCA,1,2010,alive,27,1.447158031
ANN03,638,UMCA,1,2011,alive,112,2.053078443
ANN03,642,UMCA,5,2004,alive,0,0
ANN03,642,UMCA,5,2005,alive,38,1.591064607
ANN03,642,UMCA,5,2006,alive,41,1.62324929
ANN03,642,UMCA,5,2007,alive,27,1.447158031
ANN03,642,UMCA,5,2008,alive,17,1.255272505
ANN03,642,UMCA,5,2009,alive,41,1.62324929
ANN03,642,UMCA,5,2010,alive,39,1.602059991
ANN03,642,UMCA,5,2011,alive,96,1.986771734
ANN03,651,UMCA,54,2004,alive,47,1.681241237
ANN03,651,UMCA,54,2005,alive,73,1.86923172
ANN03,651,UMCA,54,2006,alive,57,1.763427994
ANN03,651,UMCA,54,2007,alive,49,1.698970004
ANN03,651,UMCA,54,2008,alive,28,1.462397998
ANN03,651,UMCA,54,2009,alive,26,1.431363764
ANN03,651,UMCA,54,2010,alive,22,1.361727836
ANN03,651,UMCA,54,2011,alive,205,2.31386722
ANN03,663,UMCA,23,2006,alive,47,1.681241237
ANN03,663,UMCA,23,2007,alive,63,1.806179974
ANN03,663,UMCA,23,2008,alive,33,1.531478917
ANN03,663,UMCA,23,2009,alive,46,1.672097858
ANN03,663,UMCA,23,2010,alive,40,1.612783857
ANN03,663,UMCA,23,2011,alive,142,2.155336037
ANN03,669,UMCA,15,2004,alive,21,1.342422681
ANN03,669,UMCA,15,2005,alive,52,1.72427587
ANN03,669,UMCA,15,2006,alive,44,1.653212514
ANN03,669,UMCA,15,2007,alive,28,1.462397998
ANN03,669,UMCA,15,2008,alive,22,1.361727836
ANN03,669,UMCA,15,2009,alive,20,1.322219295
ANN03,669,UMCA,15,2010,alive,11,1.079181246
ANN03,669,UMCA,15,2011,alive,68,1.838849091
ANN03,674,UMCA,8,2004,alive,112,2.053078443
ANN03,674,UMCA,8,2005,alive,81,1.913813852
ANN03,674,UMCA,8,2006,alive,56,1.755874856
ANN03,674,UMCA,8,2007,alive,54,1.740362689
ANN03,674,UMCA,8,2008,alive,34,1.544068044
ANN03,674,UMCA,8,2009,alive,31,1.505149978
ANN03,674,UMCA,8,2010,alive,64,1.812913357
ANN03,674,UMCA,8,2011,alive,118,2.075546961
ANN03,679,UMCA,10,2004,alive,17,1.255272505
ANN03,679,UMCA,10,2005,alive,33,1.531478917
ANN03,679,UMCA,10,2006,alive,35,1.556302501
ANN03,679,UMCA,10,2007,alive,31,1.505149978
ANN03,679,UMCA,10,2008,alive,10,1.041392685
ANN03,679,UMCA,10,2009,alive,33,1.531478917
ANN03,679,UMCA,10,2010,alive,42,1.633468456
ANN03,679,UMCA,10,2011,alive,114,2.06069784
ANN03,680,UMCA,12,2004,alive,51,1.716003344
ANN03,680,UMCA,12,2005,alive,23,1.380211242
ANN03,680,UMCA,12,2006,alive,38,1.591064607
ANN03,680,UMCA,12,2007,alive,43,1.643452676
ANN03,680,UMCA,12,2008,alive,25,1.414973348
ANN03,680,UMCA,12,2009,alive,18,1.278753601
ANN03,680,UMCA,12,2010,alive,43,1.643452676
ANN03,680,UMCA,12,2011,alive,170,2.23299611
ANN03,693,UMCA,40,2004,alive,23,1.380211242
ANN03,693,UMCA,40,2005,alive,56,1.755874856
ANN03,693,UMCA,40,2006,alive,78,1.897627091
ANN03,693,UMCA,40,2007,alive,23,1.380211242
ANN03,693,UMCA,40,2008,alive,54,1.740362689
ANN03,693,UMCA,40,2009,alive,50,1.707570176
ANN03,693,UMCA,40,2010,alive,67,1.832508913
ANN03,693,UMCA,40,2011,alive,231,2.365487985
ANN03,3177,UMCA,6,2004,alive,21,1.342422681
ANN03,3177,UMCA,6,2005,alive,102,2.012837225
ANN03,3177,UMCA,6,2006,alive,53,1.73239376
ANN03,3177,UMCA,6,2007,alive,103,2.017033339
ANN03,3177,UMCA,6,2008,alive,39,1.602059991
ANN03,3177,UMCA,6,2009,alive,44,1.653212514
ANN03,3177,UMCA,6,2010,alive,89,1.954242509
ANN03,3177,UMCA,6,2011,alive,145,2.164352856
ANN03,3178,UMCA,23,2004,alive,23,1.380211242
ANN03,3178,UMCA,23,2005,alive,63,1.806179974
ANN03,3178,UMCA,23,2006,alive,62,1.799340549
ANN03,3178,UMCA,23,2009,A3,43,1.643452676
ANN03,3178,UMCA,23,2010,A3,43,1.643452676
ANN03,3178,UMCA,23,2011,A3,95,1.982271233
ANN03,3179,UMCA,18,2004,alive,16,1.230448921
ANN03,3179,UMCA,18,2005,alive,76,1.886490725
ANN03,3179,UMCA,18,2006,alive,31,1.505149978
ANN03,3179,UMCA,18,2009,A3,41,1.62324929
ANN03,3179,UMCA,18,2010,A3,50,1.707570176
ANN03,3179,UMCA,18,2011,A3,131,2.120573931
ANN03,3180,UMCA,22,2004,alive,0,0
ANN03,3180,UMCA,22,2005,alive,0,0
ANN03,3180,UMCA,22,2006,alive,16,1.230448921
ANN03,3180,UMCA,22,2007,alive,0,0
ANN03,3180,UMCA,22,2009,alive,4,0.698970004
ANN03,3180,UMCA,22,2010,alive,8,0.954242509
ANN03,3180,UMCA,22,2011,alive,3,0.602059991
ANN03,5530,UMCA,2,2010,alive,29,1.477121255
ANN03,5530,UMCA,2,2011,alive,154,2.190331698
ANN03,5536,UMCA,8,2010,alive,21,1.342422681
ANN03,5536,UMCA,8,2011,alive,128,2.11058971
ANN03,5537,UMCA,3,2010,alive,17,1.255272505
ANN03,5537,UMCA,3,2011,alive,58,1.770852012
ANN03,5539,UMCA,8,2010,alive,9,1
ANN03,5539,UMCA,8,2011,alive,155,2.193124598
ANN03,5574,UMCA,4,2010,alive,29,1.477121255
ANN03,5574,UMCA,4,2011,alive,62,1.799340549
ANN03,5592,UMCA,5,2010,alive,59,1.77815125
ANN03,5592,UMCA,5,2011,alive,129,2.113943352
ANN03,5593,UMCA,4,2010,alive,63,1.806179974
ANN03,5593,UMCA,4,2011,alive,71,1.857332496
ANN03,5634,UMCA,9,2010,alive,18,1.278753601
