plot.id,tag,spp,dbh,year,stem.status,slc,log10_slc
ANN01,807,UMCA,21,2004,alive,0,0
ANN01,807,UMCA,21,2005,alive,2,0.477121255
ANN01,807,UMCA,21,2006,alive,12,1.113943352
ANN01,807,UMCA,21,2007,alive,11,1.079181246
ANN01,807,UMCA,21,2008,alive,27,1.447158031
ANN01,807,UMCA,21,2009,alive,40,1.612783857
ANN01,807,UMCA,21,2010,alive,42,1.633468456
ANN01,807,UMCA,21,2011,alive,43,1.643452676
ANN01,809,UMCA,2,2004,alive,3,0.602059991
ANN01,809,UMCA,2,2005,alive,0,0
ANN01,809,UMCA,2,2006,alive,11,1.079181246
ANN01,809,UMCA,2,2007,alive,52,1.72427587
ANN01,809,UMCA,2,2008,alive,58,1.770852012
ANN01,809,UMCA,2,2009,alive,42,1.633468456
ANN01,809,UMCA,2,2010,alive,45,1.662757832
ANN01,809,UMCA,2,2011,alive,80,1.908485019
ANN01,812,UMCA,11,2004,alive,0,0
ANN01,812,UMCA,11,2005,alive,1,0.301029996
ANN01,812,UMCA,11,2006,alive,7,0.903089987
ANN01,812,UMCA,11,2007,alive,49,1.698970004
ANN01,812,UMCA,11,2008,alive,45,1.662757832
ANN01,812,UMCA,11,2009,alive,65,1.819543936
ANN01,812,UMCA,11,2010,alive,34,1.544068044
ANN01,812,UMCA,11,2011,alive,98,1.995635195
ANN01,814,UMCA,2,2004,alive,5,0.77815125
ANN01,814,UMCA,2,2005,alive,0,0
ANN01,814,UMCA,2,2006,alive,21,1.342422681
ANN01,814,UMCA,2,2007,alive,24,1.397940009
ANN01,814,UMCA,2,2008,alive,65,1.819543936
ANN01,814,UMCA,2,2009,alive,42,1.633468456
ANN01,814,UMCA,2,2010,alive,19,1.301029996
ANN01,814,UMCA,2,2011,alive,116,2.068185862
ANN01,815,UMCA,10,2004,alive,31,1.505149978
ANN01,815,UMCA,10,2005,alive,34,1.544068044
ANN01,815,UMCA,10,2006,alive,15,1.204119983
ANN01,815,UMCA,10,2007,alive,39,1.602059991
ANN01,815,UMCA,10,2008,alive,41,1.62324929
ANN01,815,UMCA,10,2009,alive,75,1.880813592
ANN01,815,UMCA,10,2010,alive,43,1.643452676
