plot_id,cum_slc_2004,cum_slc_2005,cum_slc_2006,cum_slc_2007,cum_slc_2008,cum_slc_2009,cum_slc_2010,cum_slc_2011
ANN01,505,445,1012,1069,1328,1604,1260,2700
ANN02,184,133,472,389,480,657,566,394
ANN03,950,1274,1273,1058,757,946,1468,4684
ANN04,66,89,138,542,576,876,542,272
ANN05,685,455,1128,622,472,506,269,787
ANN06,101,1167,2,649,626,506,437,540
ANN07,4,131,24,69,55,73,80,112
ANN08,31,394,0,270,192,291,88,166
ANN09,43,69,162,178,269,223,179,159
ANN10,2,11,52,112,125,120,322,166
ANN11,1,0,0,2,32,42,106,19
ANN12,19,13,365,409,376,403,345,1842
ANN13,213,214,351,132,68,147,117,634
ANN14,91,171,277,150,128,123,146,785
ANN15,253,128,857,433,322,309,263,749
ANN17,6,36,38,118,128,76,53,107
ANN18,116,52,219,255,178,246,150,390
ANN19,148,94,269,250,163,98,67,176
ANN20,60,26,90,22,12,34,14,169
ANN21,189,132,561,316,253,250,672,1437
ANN22,788,536,949,624,547,685,670,1143
ANN23,NA,NA,NA,14,9,18,11,15
ANN24,314,145,414,416,116,142,325,632
ANN25,189,80,292,174,81,85,118,508
ANN27,299,58,317,210,158,253,373,487
ANN29,220,489,635,337,225,207,402,1044
ANN30,11,46,37,202,120,40,235,134
ANN31,186,74,230,145,110,52,110,996
ANN32,489,854,798,529,448,401,385,1143
ANN33,320,366,880,634,387,375,389,1702
ANN34,1129,1176,888,NA,1182,630,1325,2463
ANN35,233,143,373,153,131,51,121,448
ANN36,31,288,115,700,470,217,711,575
ANN37,32,517,662,937,552,675,666,1153
ANN38,68,42,130,65,42,6,42,484
APGAR01,50,98,1083,550,575,379,690,715
ARBIT01,288,264,320,159,158,234,267,510
ARBIT02,12,2,149,95,153,103,137,120
ARBIT03,35,29,249,265,483,525,515,561
ARBIT04,727,267,681,374,411,531,482,1028
ARBIT05,NA,NA,NA,NA,NA,NA,NA,52
ATHEA02,1718,577,1202,644,494,458,1258,2194
BACKM03,22,7,1622,185,780,969,524,862
BACKM04,39,16,48,22,572,279,645,768
BACKM05,259,218,2084,377,955,862,738,1245
BELTA01,526,210,638,494,431,139,291,1631
BELTA02,79,107,171,74,41,121,114,206
BELTA03,67,60,379,325,118,170,102,90
BELTA04,829,682,1396,653,542,587,421,2201
BELTA08,1912,1534,1998,1040,575,538,1866,4345
BERGE01,770,894,2156,1480,1590,1773,2168,3470
BOUV01,31,0,199,84,214,28,215,472
BOUV02,620,85,6290,1630,1725,1160,1693,2074
BOUV03,66,19,517,413,803,258,1069,1592
BOUV09,429,1477,2968,613,749,507,1267,1413
BOWES01,746,334,1115,707,501,407,474,1180
BOWES02,957,261,1699,802,691,458,376,771
BOWES03,272,54,350,133,111,73,136,370
COCHR01,9,0,0,33,346,506,278,410
COOK01,12,17,86,133,103,169,112,191
COOK02,102,6,463,305,135,205,105,536
DOMAN01,0,0,408,360,468,423,471,1520
ELIOT01,881,876,1187,378,357,830,1729,2416
FERRA01,179,48,5171,2456,1330,1698,1147,2599
FOP04,489,331,666,456,329,171,1621,2496
FOP324,817,505,1583,1181,953,231,1241,3485
FOP333,848,869,474,440,313,52,792,2395
FOP340,110,50,39,137,152,58,218,199
FRIDE01,44,1,0,54,74,79,39,183
GANAY01,48,24,20,35,30,63,48,18
GANAY02,36,14,154,158,109,241,248,165
GARD01,0,0,0,0,494,401,434,646
HALOW02,742,572,1398,514,499,429,576,1945
HOOD01,691,145,4921,1545,1578,2370,1641,6485
HOOD02,42,13,518,NA,1599,1878,1261,1698
HOOD03,0,13,420,349,250,59,103,352
HOOD04,221,291,490,505,212,376,955,1341
